Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c_in_25switchBlock] (173 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.203476
2	LFMI5	0.203265
3	LFPS2	0.202778
4	LFPS1	0.201645
5	LFMI4	0.19871
6	LAI14	0.198424
7	LIA16	0.197147
8	LIA17	0.186058
9	LIA15	0.170424
10	LFMI3-1	0.161728
11	LFAI2	0.159915
12	RAI11	0.159558
13	LFAI14	0.154247
14	LFAM9-1	0.148203
15	LFOP13	0.148023
16	LIA14	0.146678
17	LFOP14	0.145805
18	RPI14	0.143753
19	RINS12	0.14143
20	LFMM8-2	0.139848
21	RIA12	0.137848
22	RLOF11	0.135609
23	LAI18	0.135369
24	LFO10	0.133687
25	LIA13	0.133338

[Stimulus_c_in_75switchBlock] (173 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFMI5	0.287284
2	LFPS2	0.274252
3	LFPS1	0.241275
4	LAI13	0.240212
5	LFAI14	0.215692
6	LFMI4	0.199642
7	RLOF11	0.199596
8	LOF16	0.182348
9	LAI14	0.180771
10	LIA16	0.180722
11	LIA17	0.169645
12	RAI11	0.166036
13	LFAI12	0.165598
14	LFA11	0.162362
15	RAI12	0.156244
16	LFMM8-0	0.154365
17	RASF15	0.151517
18	LFPM12	0.148807
19	LFAM7	0.143941
20	LFAI13	0.143876
21	RIA12	0.143626
22	LFAM14	0.143301
23	RFMM10	0.141648
24	RIA6-1	0.140083
25	LFAM10-0	0.139492

[Stimulus_i_in_25switchBlock] (173 electrodes, showing 25)
rank	electrode	rms_deviation
1	RAI11	0.222794
2	LFPS2	0.214268
3	LAI11	0.194768
4	LAI10-1	0.193234
5	LFPS1	0.188017
6	LFMM9-0	0.181727
7	LFMM8-0	0.166991
8	LFMI3-1	0.166528
9	RAI12	0.165118
10	LFMI5	0.162843
11	LFAI9-1	0.147924
12	LFMEG1	0.142465
13	LFMI4	0.1422
14	RFO13	0.139749
15	LFMM10-0	0.139353
16	LAI14	0.139232
17	RFMM8	0.137556
18	RLOF11	0.135391
19	LAI13	0.13385
20	RPI14	0.133049
21	RFAM9	0.132798
22	LFMM9-1	0.1312
23	RFAM10	0.130442
24	RMMF14	0.12903
25	RINS11	0.125167

[Stimulus_i_in_75switchBlock] (173 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFMI5	0.62591
2	LAI13	0.294922
3	LFMM12-0	0.292173
4	LFMI4	0.275989
5	LFMM11	0.261733
6	LAI14	0.243211
7	LFAM9-1	0.190672
8	LFAM10-2	0.189267
9	LFA12	0.183724
10	RFAM8	0.182942
11	LINS12	0.180496
12	LFMI3-1	0.180184
13	LFPS1	0.173561
14	LFPS2	0.168475
15	LFAM9-2	0.159571
16	RIFMEG2	0.156579
17	RFOA16-0	0.154987
18	LMSF5	0.153335
19	RAI11	0.153283
20	LFAI3-1	0.152804
21	RINSA3	0.150862
22	LFAM14	0.146878
23	LFAI7	0.146346
24	RLOF11	0.145952
25	RFAI3	0.144485

