Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c25] (173 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.204246
2	LFPS2	0.184002
3	LFPS1	0.169136
4	LAI14	0.164571
5	LFMI5	0.153962
6	LAI4-0	0.148583
7	LFAM9-1	0.148483
8	LFMI3-1	0.142618
9	RAI11	0.142326
10	LIA13	0.137254
11	RFAL8	0.136985
12	LFAI14	0.133879
13	LFMI4	0.128248
14	LFAI4	0.127282
15	LAI8-0	0.118041
16	LFAM14	0.117701
17	LFAM10-0	0.115015
18	LIA14	0.110884
19	LFMM9-2	0.110124
20	LFOP13	0.106581
21	LFOP14	0.104946
22	RAMF12-0	0.103715
23	LFMM9-0	0.103582
24	LAI11	0.102539
25	LFMM8-0	0.102382

[Stimulus_c75] (173 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFMI5	0.526022
2	LFMI4	0.362267
3	LAI14	0.340044
4	LFO10	0.279437
5	LAI13	0.265104
6	LFA12	0.251629
7	LFPM11	0.239182
8	RFMM10	0.227181
9	LFOP17	0.224052
10	RAI6-1	0.222615
11	LFMM9-2	0.221468
12	LAI4-0	0.209874
13	RFAM11	0.208987
14	LFMM8-2	0.208758
15	LFPM12	0.205742
16	LFMM11	0.204683
17	RAMF13-1	0.20199
18	LOF14	0.200574
19	LFPM10	0.200039
20	LFMI3-1	0.198985
21	RASF15	0.197635
22	LFPS2	0.19648
23	LFAI14	0.194847
24	LFMM12-0	0.194031
25	LAI3	0.193723

[Stimulus_i25] (173 electrodes, showing 25)
rank	electrode	rms_deviation
1	RFO13	0.270261
2	RIFMEG2	0.257153
3	LAI13	0.255061
4	LFMI3-1	0.233819
5	RAI11	0.221188
6	LFPS2	0.221029
7	LFAM9-2	0.220311
8	RIFMEG7	0.215331
9	LFAM10-2	0.214118
10	LFMM9-2	0.20956
11	RFO14	0.209027
12	LFPS1	0.205136
13	LFAM7	0.20224
14	LLeSS11	0.201516
15	RINS6	0.19987
16	LINS15	0.195808
17	RMMF14	0.193011
18	LINS14	0.191602
19	LFAI6	0.190613
20	LFMM9-0	0.189936
21	LFAI7	0.186502
22	LAI14	0.186
23	RAMF11	0.184943
24	LFAI3-1	0.182373
25	LAI12	0.181331

[Stimulus_i75] (173 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFMI5	0.393158
2	LFMI4	0.20791
3	LAI13	0.19894
4	LFPS2	0.179475
5	RAI11	0.173988
6	LFMM12-0	0.171698
7	LFMM11	0.165143
8	LAI14	0.164842
9	LFPS1	0.159386
10	LFMI3-1	0.153514
11	LFMEG1	0.151141
12	RFAM8	0.145533
13	RFOA16-0	0.142062
14	LAI4-0	0.140082
15	RAI12	0.139099
16	LFMM9-0	0.13457
17	LFAM9-1	0.125116
18	LAI8-0	0.123096
19	LOF13	0.122602
20	RFAM15	0.119626
21	LFAI9-1	0.118389
22	RFO14	0.118223
23	LFMM8-0	0.118153
24	RFOA17	0.116935
25	RFOA18	0.116603

