Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_i75-Stimulus_c75] (173 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFMI5	0.615779
2	LFMI4	0.355395
3	LFO10	0.284168
4	LFA12	0.278848
5	RFMM10	0.272288
6	LAI14	0.267277
7	LFPM12	0.266606
8	LFPM11	0.266579
9	LFMM12-0	0.260885
10	LFMM11	0.259914
11	LMSF5	0.230081
12	LFMM8-2	0.22858
13	RAI6-1	0.221924
14	RAMF13-1	0.216985
15	LFPM10	0.213434
16	RLOF11	0.212252
17	LFOP17	0.211185
18	LOF14	0.210962
19	LFMEG1	0.205463
20	LFAM10-0	0.203815
21	LFAM9-3	0.202144
22	RINSA12	0.1999
23	LFPS1	0.199635
24	RFAM11	0.199114
25	LFMM9-2	0.199012

[Stimulus_i25-Stimulus_c25] (173 electrodes, showing 25)
rank	electrode	rms_deviation
1	RFO13	0.272544
2	RINS6	0.263727
3	RIFMEG7	0.247672
4	LFAM10-2	0.245306
5	RIFMEG2	0.24392
6	LFAM9-2	0.240986
7	RFO14	0.236991
8	RMMF14	0.231758
9	LLeSS11	0.229112
10	RAMF13-0	0.228219
11	LINS15	0.224361
12	LFAM6	0.222564
13	LINS14	0.220352
14	RLOF11	0.216463
15	RFAL8	0.215082
16	LFAM7	0.211138
17	LAI5	0.210342
18	RAMF11	0.209506
19	LFAI6	0.20944
20	LFA12	0.209412
21	LFAI7	0.208864
22	LFAI11	0.207494
23	LFAI3-1	0.203023
24	LFAM8-1	0.201819
25	LFAM14	0.201494

