Electrode deviation report for roi: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test. 

[Stimulus_s25] (174 electrodes
rank	electrode	rms_deviation
1	LFMM9-2	0.974908
2	LFPM12	0.895756
3	LFAI9-1	0.784625
4	LFMI3-1	0.644319
5	LIA13	0.624791
6	LFPS1	0.528932
7	LIA14	0.499253
8	LFAI3-1	0.440628
9	LIA15	0.432469
10	LFPM11	0.424678
11	LFAM10-3	0.413136
12	LAI10-1	0.411686
13	RAI6-0	0.410976
14	LFPS2	0.4029
15	LINS12	0.388482
16	LFOP14	0.381348
17	LFOP13	0.376716
18	LFAM11-0	0.362829
19	LFMM8-2	0.350465
20	LAI5	0.348859
21	LAI12	0.345606
22	LFMI8	0.3365
23	RIFMEG1	0.335854
24	LFMM9-1	0.334178
25	RPI15	0.32666
26	LFMI5	0.322392
27	LAI10-0	0.319033
28	LFMM14	0.318502
29	RPI14	0.314442
30	LFAM10-1	0.301715
31	RFOA17	0.300945
32	RAI10	0.299339
33	LAI13	0.299073
34	RFOA18	0.298978
35	LFAM9-3	0.298412
36	RFO13	0.292891
37	LOF16	0.292249
38	RFOA16-1	0.285849
39	RFAL8	0.285337
40	RAI11	0.276221
41	LFOP17	0.273746
42	RINSA12	0.263626
43	LFMM8-1	0.263229
44	RFAM9	0.263225
45	LFMEG1	0.263193
46	RIA6-1	0.262096
47	RFOA16-0	0.26094
48	LFA12	0.258958
49	LFMS7	0.256801
50	LFAM10-0	0.254815
51	RFAM11	0.254518
52	RIA16	0.251265
53	LFAM9-1	0.250565
54	LFA11	0.249663
55	RINS12	0.244391
56	LFMM8-0	0.244173
57	LFAI8	0.243215
58	LAI18	0.242692
59	RMMF10	0.242269
60	RFO14	0.241878
61	RIA12	0.240186
62	RLOF10	0.23653
63	LFMM12-1	0.23634
64	LAI7-3	0.23588
65	RFAM12	0.235823
66	LMMF12	0.235625
67	RMMF14	0.233409
68	LAI11	0.23296
69	RLOF11	0.232737
70	RINS13	0.232038
71	LFAM14	0.231261
72	LFAM11-1	0.230229
73	RAMF12-0	0.229011
74	RINS10	0.227007
75	RFMM9	0.225879
76	LMMF9	0.225875
77	LAI3	0.225128
78	RASF15	0.221459
79	LFAM12	0.220962
80	LFAI5	0.218875
81	LAI15	0.215405
82	LFAM8-2	0.214672
83	RFAM15	0.213553
84	LAI14	0.212375
85	LAI7-1	0.211559
86	RINS11	0.21133
87	RFAM8	0.211135
88	LFO10	0.210602
89	LFAM8-0	0.210012
90	LASF10	0.209923
91	LFAI4	0.209873
92	LAI8-1	0.20912
93	RAMF11	0.207409
94	LMMF10	0.203486
95	LMMF11	0.203241
96	LFAI14	0.202919
97	RAI7	0.20264
98	LFAI11	0.202355
99	LFAI6	0.200655
100	RAMF13-1	0.199847
101	LFAP6	0.198626
102	RAI12	0.197263
103	RAMF12-1	0.196399
104	RAI17	0.195488
105	RINSA3	0.193054
106	RFMM11	0.192515
107	LFAI7	0.192015
108	LIA11	0.191919
109	LAI8-0	0.191868
110	LFAM7	0.191757
111	LLeSS8	0.191092
112	LFAI12	0.19073
113	LFAI10-1	0.190011
114	LLeSS9	0.189786
115	RFMM8	0.189677
116	LFMM10-0	0.189462
117	LFMI2	0.189052
118	RFAI3	0.188878
119	LOF13	0.187303
120	LINS9	0.18725
121	RAMF13-0	0.185849
122	LFMM9-0	0.18552
123	RAMF14	0.184083
124	LMSF5	0.183503
125	RAI6-1	0.183333
126	LAI4-1	0.183281
127	RFAM10	0.18322
128	LAI6	0.183176
129	LFMI3-0	0.181795
130	LFPP1	0.181232
131	LFAM8-1	0.17849
132	LAI16	0.17634
133	RINS6	0.174705
134	LLeSS10	0.1745
135	RFMM10	0.174305
136	LFAI10-0	0.174044
137	RFMM12	0.173818
138	LAI4-0	0.173328
139	LFMI4	0.17199
140	LFAM9-0	0.171517
141	LFAI13	0.170453
142	LFAM10-2	0.170238
143	LFMM10-2	0.169138
144	LFAI3-0	0.168798
145	RAI4	0.168594
146	RIFMEG7	0.168217
147	LFAI2	0.168133
148	LFMM12-0	0.165263
149	LPSF16	0.16476
150	LFAM6	0.164328
151	LFA9	0.164108
152	LFAI9-0	0.162238
153	LAI7-0	0.160083
154	LIA16	0.159321
155	LAI17	0.15927
156	LFAM9-2	0.156223
157	LINS15	0.155523
158	LFPM10	0.154834
159	LOF14	0.153804
160	LINS13	0.152043
161	RIA6-0	0.151871
162	LFA10	0.151147
163	LFAM5	0.151106
164	LFPS6	0.146519
165	LIA17	0.146184
166	LPSF12	0.145505
167	RFAM7	0.144576
168	LFMM10-1	0.144231
169	LAI7-2	0.142076
170	RIA11	0.139006
171	LFMM11	0.122277
172	LINS14	0.121371
173	LLeSS11	0.121016
174	RIFMEG2	0.109584

[Stimulus_s75] (174 electrodes
rank	electrode	rms_deviation
1	LFMI8	1.90362
2	LFMM9-2	0.813222
3	LFPM12	0.803812
4	LFAI9-1	0.664319
5	LFMI3-1	0.530844
6	LFPS1	0.513536
7	LINS12	0.459708
8	LIA13	0.437678
9	LFPS2	0.414314
10	RIFMEG1	0.392437
11	LFPM11	0.37774
12	LFAM10-3	0.36201
13	LAI5	0.345826
14	LIA15	0.343474
15	LFAM11-0	0.331609
16	LIA14	0.330072
17	LFAM9-3	0.304034
18	LMMF10	0.302109
19	LMMF9	0.296843
20	LAI12	0.295412
21	LFAM10-1	0.293084
22	LFMM14	0.276427
23	LAI10-1	0.275192
24	LFMI5	0.265932
25	LFAI3-1	0.265319
26	LAI10-0	0.257978
27	RFOA16-1	0.252257
28	LIA17	0.248235
29	LFMM8-2	0.240484
30	LFMM9-1	0.235796
31	RIA6-1	0.231304
32	RASF15	0.2287
33	RPI15	0.22644
34	LAI13	0.226213
35	RFO13	0.22583
36	LFAM10-0	0.225363
37	LFOP13	0.223646
38	LFMEG1	0.22227
39	RFAM11	0.221596
40	RAMF12-0	0.220641
41	RAI10	0.219659
42	LFAM14	0.21694
43	LFOP17	0.214673
44	LAI11	0.214122
45	LMMF11	0.212233
46	RAI11	0.211811
47	LAI14	0.210522
48	LFOP14	0.210096
49	RAI7	0.203687
50	RFOA17	0.203196
51	LFAM12	0.202834
52	RFOA18	0.202833
53	LFAM8-2	0.19979
54	RPI14	0.198094
55	RFAM8	0.195613
56	LFMM9-0	0.195309
57	RINSA12	0.19302
58	LOF13	0.192563
59	LFO10	0.191132
60	LFAI7	0.190724
61	LFMM12-1	0.188489
62	RFOA16-0	0.188477
63	LAI3	0.187209
64	LFMS7	0.186995
65	LFMM8-0	0.186827
66	LOF16	0.186369
67	LFA12	0.185881
68	LPSF12	0.185798
69	RFMM9	0.182869
70	RFAM9	0.182665
71	LINS9	0.181776
72	LFAM7	0.180407
73	LAI7-1	0.178227
74	RIA16	0.177843
75	LASF10	0.176615
76	LFAI2	0.175758
77	LFMI4	0.172697
78	RINS12	0.167225
79	LFAP6	0.166914
80	LIA11	0.166233
81	RINS13	0.1655
82	RAI17	0.164636
83	RAI12	0.164271
84	RLOF10	0.16333
85	LFAI4	0.162889
86	RAMF13-1	0.159604
87	RAI6-0	0.159016
88	LAI7-0	0.15796
89	LFMM12-0	0.155424
90	LFAM10-2	0.155257
91	RFO14	0.154101
92	LFA11	0.153748
93	LFAI5	0.153303
94	LFAI11	0.152185
95	LAI7-3	0.151054
96	RFAM12	0.151008
97	LFAM9-1	0.149926
98	RFAI3	0.149504
99	LINS13	0.148109
100	LFMM8-1	0.14782
101	RFAM15	0.147481
102	RAMF11	0.146238
103	RLOF11	0.145857
104	RAI4	0.145131
105	RINS11	0.14474
106	LFAM8-0	0.144735
107	LFAI14	0.144232
108	LFAM9-2	0.143349
109	LAI18	0.14228
110	LIA16	0.142174
111	LFAM9-0	0.141164
112	LFAM11-1	0.141121
113	RIA12	0.139864
114	LINS15	0.137744
115	LFAI6	0.136566
116	LFAM6	0.136187
117	LOF14	0.135369
118	RAMF12-1	0.134309
119	LFA10	0.132993
120	LAI15	0.131543
121	LAI16	0.130819
122	LFAI13	0.129624
123	LMSF5	0.129247
124	LFAI10-1	0.127552
125	RFAL8	0.12739
126	RIA6-0	0.127039
127	RFMM12	0.126966
128	LLeSS9	0.126825
129	LLeSS8	0.125816
130	LFMI2	0.125631
131	LLeSS10	0.125372
132	LFAI8	0.124669
133	LFAI12	0.123465
134	RFMM10	0.122838
135	RAI6-1	0.122198
136	LFPS6	0.121485
137	RFMM8	0.121426
138	RINS10	0.120314
139	LAI4-0	0.117932
140	LMMF12	0.117123
141	RIFMEG7	0.115603
142	RAMF13-0	0.115586
143	LFMM10-2	0.115574
144	LAI6	0.115199
145	RMMF14	0.114607
146	LAI8-1	0.114584
147	RINS6	0.113611
148	LAI7-2	0.11183
149	RFAM7	0.111531
150	LFPP1	0.111447
151	LFAI3-0	0.110972
152	LAI8-0	0.110597
153	LPSF16	0.110523
154	LFMM10-0	0.108644
155	LFMM10-1	0.107809
156	LFAM8-1	0.106634
157	LAI4-1	0.105664
158	RFMM11	0.105327
159	RFAM10	0.104933
160	LFMI3-0	0.104123
161	LINS14	0.103297
162	LFPM10	0.10066
163	LLeSS11	0.0992286
164	RIFMEG2	0.0990712
165	LFAI10-0	0.0978891
166	RAMF14	0.094333
167	LFAM5	0.0904069
168	RMMF10	0.0876556
169	LFA9	0.0870646
170	LFMM11	0.0838599
171	LAI17	0.082951
172	RINSA3	0.0828364
173	LFAI9-0	0.0820862
174	RIA11	0.0749462

[Stimulus_r25] (174 electrodes
rank	electrode	rms_deviation
1	LFPM12	0.830043
2	LFMI3-1	0.529545
3	LFAI9-1	0.516183
4	LFMM9-2	0.457853
5	LIA15	0.432791
6	LFAI3-1	0.429438
7	LFPS1	0.416519
8	LFPM11	0.389542
9	LIA14	0.369504
10	LIA13	0.363105
11	RIFMEG1	0.360264
12	LINS12	0.325609
13	LFPS2	0.318785
14	LFAM10-3	0.308973
15	LAI5	0.297133
16	LAI10-0	0.29419
17	LFMI5	0.288899
18	LFAM9-3	0.264554
19	LFAM10-0	0.257232
20	LFMM14	0.247753
21	LFMM9-0	0.24113
22	LAI14	0.222875
23	RFAM9	0.218586
24	RFOA16-1	0.213304
25	LFMI8	0.209357
26	LAI13	0.208954
27	LAI12	0.207007
28	LFOP13	0.202762
29	RAI11	0.200147
30	RFO14	0.197356
31	RPI14	0.195707
32	LFAM14	0.193628
33	LFOP17	0.193339
34	LFAM8-0	0.192867
35	LFMM12-1	0.191569
36	LFOP14	0.188173
37	RINS12	0.188129
38	LFAI10-0	0.187282
39	LFMI3-0	0.18609
40	LFAM11-0	0.185937
41	LFAM8-2	0.183944
42	RAI6-0	0.182144
43	RFO13	0.179887
44	LFAI9-0	0.176835
45	RAI12	0.176582
46	RFOA16-0	0.176389
47	LFMI4	0.176271
48	RFMM9	0.175747
49	LAI11	0.175667
50	LMMF12	0.175038
51	LFA12	0.175007
52	RINS13	0.170929
53	RAI17	0.170309
54	LFA10	0.169112
55	LLeSS9	0.168793
56	LFMEG1	0.168333
57	LAI3	0.167111
58	RMMF14	0.167065
59	RPI15	0.166127
60	LFO10	0.164656
61	RAI7	0.164337
62	RAMF11	0.16417
63	LAI18	0.162019
64	RASF15	0.161917
65	LFAM9-0	0.16152
66	RIA16	0.161074
67	LFAI12	0.158859
68	RIA6-1	0.157793
69	RINS11	0.156816
70	LFAI4	0.155714
71	LMMF10	0.155526
72	RFOA18	0.155187
73	RFOA17	0.155121
74	LAI10-1	0.153719
75	LOF13	0.15182
76	RFAM15	0.15178
77	RAI10	0.151378
78	RINSA12	0.147606
79	LFAM11-1	0.146832
80	RINS10	0.146465
81	RAMF13-1	0.14364
82	LOF14	0.142861
83	RAMF14	0.142684
84	LFMM9-1	0.142557
85	LIA11	0.1422
86	RFAI3	0.1419
87	LFMS7	0.141717
88	LAI7-2	0.141456
89	RFMM8	0.141449
90	RFAM11	0.141007
91	LFA11	0.140508
92	RAMF12-1	0.140315
93	LFAM9-1	0.139679
94	LINS13	0.134948
95	RAMF12-0	0.134676
96	LLeSS10	0.134035
97	LMSF5	0.133199
98	LMMF11	0.131178
99	LFAM9-2	0.130861
100	RFAM8	0.130378
101	LFAM12	0.127772
102	LFAI5	0.127732
103	LFAI10-1	0.127546
104	LFMM8-0	0.127291
105	RFAM12	0.126144
106	RMMF10	0.125235
107	RIA12	0.124237
108	LFPP1	0.124188
109	RLOF10	0.123592
110	LFAM7	0.123492
111	LAI7-0	0.119547
112	RIFMEG7	0.119182
113	LFAI13	0.117714
114	LFMI2	0.117034
115	LFAI14	0.116924
116	LFMM10-2	0.116879
117	LFAI2	0.116684
118	LFPS6	0.116122
119	LFAM10-2	0.116062
120	LASF10	0.115516
121	RFMM11	0.114954
122	LLeSS8	0.113463
123	LINS15	0.113367
124	LFAI8	0.113181
125	RAI4	0.113099
126	LAI7-1	0.112864
127	RAMF13-0	0.112573
128	LAI8-1	0.111852
129	LIA16	0.110975
130	LFAP6	0.110792
131	LAI8-0	0.110735
132	LOF16	0.110114
133	LFAI7	0.107861
134	LMMF9	0.107765
135	LFAM10-1	0.107365
136	RAI6-1	0.107283
137	RFAM7	0.106843
138	LFMM10-1	0.104616
139	LINS9	0.104335
140	LAI15	0.104267
141	RIA6-0	0.103853
142	RLOF11	0.103354
143	LFAI11	0.103191
144	LAI16	0.102883
145	LAI4-0	0.0996949
146	LFMM12-0	0.0987893
147	RFAM10	0.0982839
148	RFAL8	0.0975852
149	LPSF16	0.0964317
150	RFMM12	0.0961197
151	LFMM8-1	0.0959576
152	LFAI3-0	0.0946926
153	RINSA3	0.0940521
154	LFMM11	0.0917723
155	LFMM8-2	0.0909826
156	LFAM8-1	0.0908703
157	RFMM10	0.090398
158	LFPM10	0.08931
159	LPSF12	0.0884935
160	LFMM10-0	0.0882597
161	RINS6	0.0865189
162	LIA17	0.0851337
163	LFAI6	0.083385
164	LAI17	0.0816735
165	LAI7-3	0.0816579
166	RIA11	0.0810738
167	LAI4-1	0.0795274
168	LINS14	0.0784537
169	RIFMEG2	0.0768896
170	LAI6	0.0746026
171	LFAM6	0.0731357
172	LFAM5	0.070041
173	LLeSS11	0.0697146
174	LFA9	0.0657637

[Stimulus_r75] (174 electrodes
rank	electrode	rms_deviation
1	LFMI8	12.0862
2	LFPM12	0.878603
3	LFMM9-2	0.813078
4	LFMI5	0.683607
5	LFPS1	0.533283
6	LFMI3-1	0.528449
7	LFAI9-1	0.513186
8	LFPM11	0.417127
9	LFPS2	0.413256
10	LINS12	0.380085
11	LIA13	0.37141
12	LIA15	0.368282
13	LFAM10-3	0.366893
14	RIFMEG1	0.359204
15	LIA14	0.355223
16	LFMI4	0.337252
17	LFAM9-3	0.336148
18	LAI5	0.328353
19	LFAI3-1	0.317992
20	LAI13	0.312688
21	LFMM8-2	0.310512
22	RAI10	0.309209
23	LFAM12	0.304326
24	LFAM11-0	0.295752
25	RAMF12-0	0.294024
26	RFAM8	0.289757
27	LAI12	0.288094
28	LOF16	0.287453
29	RAMF11	0.28031
30	RAMF13-1	0.278625
31	LAI14	0.278557
32	LFAM10-1	0.276094
33	RAI11	0.270123
34	LFOP17	0.26469
35	RAMF12-1	0.263914
36	LAI11	0.263357
37	LFAM8-2	0.262245
38	LAI10-1	0.259423
39	LAI10-0	0.25873
40	LFAM14	0.258484
41	LFMEG1	0.257962
42	LFMM12-0	0.252049
43	RFOA17	0.251367
44	LFAP6	0.249936
45	RFOA18	0.249851
46	RFOA16-0	0.249457
47	RIA16	0.248983
48	LFMM14	0.246498
49	LFAM10-0	0.24603
50	RINSA12	0.245462
51	RFMM9	0.245171
52	LMMF11	0.244675
53	LFOP13	0.243888
54	LFAI14	0.243394
55	LFMM9-0	0.243378
56	LMSF5	0.241544
57	LMMF9	0.23322
58	RLOF10	0.233106
59	LFMM8-0	0.230883
60	LFAI11	0.227307
61	LOF13	0.227181
62	LFA10	0.226727
63	LFMM11	0.22632
64	RINS10	0.225775
65	LFMS7	0.225294
66	RFOA16-1	0.224766
67	LFAM9-1	0.221707
68	LFAI2	0.221447
69	RAI12	0.220094
70	LAI3	0.219411
71	LFAI4	0.2186
72	LFMI2	0.21844
73	LIA17	0.217956
74	RPI14	0.215089
75	LAI7-1	0.213617
76	LINS9	0.212764
77	RFAM9	0.212748
78	LFAM7	0.211109
79	LFPP1	0.211064
80	LFAM8-0	0.210792
81	RINS13	0.210469
82	LFAI10-1	0.208155
83	LLeSS10	0.207273
84	LFAI5	0.206763
85	RPI15	0.206686
86	LFAI6	0.206208
87	RIA6-1	0.205808
88	RFMM8	0.205502
89	LFAI12	0.20522
90	RINS12	0.203551
91	LFAM9-0	0.202669
92	RINS11	0.201918
93	RIFMEG7	0.201301
94	LLeSS9	0.200532
95	RAI7	0.200493
96	LAI7-2	0.200086
97	LMMF10	0.199659
98	LAI7-0	0.199649
99	RFO13	0.199288
100	LPSF16	0.199265
101	RIA6-0	0.198337
102	LINS15	0.197991
103	LAI18	0.197519
104	RAI6-0	0.197192
105	LFO10	0.196777
106	RAMF13-0	0.196114
107	LFAI7	0.196004
