Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s75-Stimulus_r75] (173 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFMI5	1.13303
2	LFMI4	0.531233
3	LFMM11	0.431088
4	LFMM12-0	0.397633
5	LMMF9	0.234166
6	LFAM10-2	0.23406
7	RINSA12	0.23069
8	RIA16	0.225474
9	RAMF12-1	0.223738
10	LAI14	0.222965
11	RAI6-1	0.220714
12	RIA6-0	0.220414
13	LINS12	0.219744
14	RAMF13-1	0.219038
15	LFMM8-0	0.218641
16	LFAM8-0	0.218309
17	LAI4-0	0.218132
18	LFPM11	0.216897
19	RLOF11	0.213665
20	LFAM11-0	0.213129
21	RFAM7	0.210606
22	LFA12	0.210308
23	RFAM9	0.209983
24	LLeSS10	0.209039
25	LIA11	0.20805

[Stimulus_s25-Stimulus_r25] (173 electrodes, showing 25)
rank	electrode	rms_deviation
1	RFOA18	0.299654
2	RFOA17	0.299073
3	RIA16	0.290479
4	RFOA16-0	0.271881
5	RFAL8	0.264666
6	RFAM12	0.256726
7	LAI14	0.245946
8	LAI7-1	0.219387
9	RASF15	0.215666
10	LFMM8-2	0.214101
11	RAMF11	0.21405
12	LFAM10-1	0.207117
13	LAI3	0.205306
14	LAI10-1	0.204861
15	RFMM9	0.204042
16	LINS12	0.19999
17	RFMM8	0.199835
18	LFAM8-1	0.196071
19	LFAM12	0.195557
20	LAI18	0.194953
21	RINSA12	0.194223
22	LFMM8-0	0.193883
23	LFMM8-1	0.192935
24	RFAI3	0.192606
25	LFMS7	0.191953

