Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s_in_25incongruentBlock] (173 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.277219
2	LAI13	0.231355
3	LFPS1	0.221613
4	LFMM9-2	0.18676
5	LAI14	0.179275
6	RFAL8	0.170152
7	LFMM8-0	0.166733
8	LFAI14	0.166006
9	RAI11	0.164931
10	LFMI3-1	0.158215
11	RLOF11	0.15789
12	LMMF9	0.152789
13	LFAI4	0.15211
14	LAI4-0	0.146142
15	LFAM6	0.146073
16	LMMF10	0.143809
17	RASF15	0.143279
18	RINSA3	0.142249
19	LFAM7	0.139642
20	RAI12	0.137099
21	LFMM10-1	0.134944
22	LFMI5	0.134509
23	RIA6-1	0.132475
24	LFA11	0.13057
25	LFAM5	0.130451

[Stimulus_s_in_75incongruentBlock] (173 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFMI5	0.302815
2	LAI13	0.28328
3	LAI14	0.255094
4	LFMI4	0.20358
5	LFMI3-1	0.185224
6	LAI4-0	0.176866
7	LFA12	0.174536
8	LAI8-0	0.173376
9	LFAP6	0.170146
10	LFAI7	0.168887
11	LFPS2	0.168752
12	RFAM8	0.168366
13	LFOP17	0.166269
14	LFAM7	0.162678
15	LFPS1	0.160973
16	RFO14	0.160799
17	RFO13	0.158595
18	LFAI8	0.157624
19	RFMM8	0.15445
20	RINSA12	0.15302
21	LFAM9-1	0.152061
22	RAI12	0.151842
23	RFAI3	0.146456
24	LFAM6	0.146119
25	LPSF16	0.145528

[Stimulus_r_in_25incongruentBlock] (173 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.204819
2	LAI14	0.169808
3	RAI11	0.169232
4	LFPS1	0.169085
5	LFMI5	0.167055
6	LFMI3-1	0.158126
7	LFAM11-0	0.156977
8	LFOP14	0.153385
9	LFPS2	0.152677
10	LFOP13	0.149554
11	LIA13	0.148895
12	LFMI4	0.144185
13	LFAM8-0	0.14008
14	LFMM9-1	0.138681
15	LFAM9-1	0.137294
16	LFAI3-1	0.137176
17	LFAM12	0.136978
18	LFAM14	0.136725
19	LAI4-0	0.13658
20	RASF15	0.136463
21	LAI12	0.136076
22	LMSF5	0.135734
23	LFAI2	0.134429
24	RINSA12	0.134005
25	LFAM10-0	0.133364

[Stimulus_r_in_75incongruentBlock] (173 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFMI5	0.557076
2	LFMI4	0.290737
3	LFMM11	0.211195
4	LFPS2	0.204929
5	RAI11	0.203969
6	LFMM12-0	0.203654
7	LAI14	0.19339
8	LFMEG1	0.186223
9	LFMI3-1	0.170385
10	LAI13	0.166034
11	LFPS1	0.153296
12	RFAM7	0.153293
13	RFAM8	0.15276
14	LAI11	0.151446
15	LOF13	0.150405
16	LFO10	0.149328
17	LFMM9-0	0.14894
18	RAI12	0.147665
19	LFOP17	0.144751
20	LAI4-0	0.14471
21	LIA13	0.144249
22	LFA10	0.141011
23	LAI3	0.140811
24	RINSA12	0.137628
25	RFAM15	0.137379

