Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c_in_25switchBlock] (57 electrodes, showing 25)
rank	electrode	rms_deviation
1	LOPM8	0.359826
2	RHT5	0.344473
3	LOPM9	0.276286
4	LOAI14-1	0.238879
5	LTPI3	0.232724
6	LTPI4	0.232575
7	LTPI2-0	0.230588
8	LPAI1	0.200667
9	LOPM10	0.195992
10	LOAI13-1	0.182556
11	LPAM9	0.170969
12	RTOJ2	0.165478
13	RTPI2	0.158108
14	LOAI15-1	0.155678
15	ROPI5	0.152818
16	LOAI12-1	0.151064
17	ROPM8	0.143279
18	ROPM1	0.142804
19	LOMS13	0.14277
20	LTPI1-2	0.140884
21	LPPI8	0.130792
22	LTOJ1	0.126138
23	LTMI1	0.122793
24	LOPI10	0.118657
25	LPPI7	0.11394

[Stimulus_c_in_75switchBlock] (57 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.375365
2	LOPM8	0.342228
3	LPAI1	0.285176
4	LOPM9	0.275008
5	LTPI2-0	0.260473
6	LOAI14-1	0.255513
7	RPIT1	0.222729
8	LOAI15-1	0.195972
9	LOAI13-1	0.19494
10	LOPM10	0.183638
11	LTPI3	0.183123
12	LPAM9	0.176988
13	RTPI3	0.174142
14	LOMS13	0.166816
15	LTMI1	0.165865
16	LPAI12	0.152826
17	LTPI2-1	0.148777
18	LOAI12-0	0.132353
19	LOAM15	0.129286
20	RPMT1	0.127275
21	RTPI2	0.123867
22	LOAI13-0	0.119759
23	LOPI10	0.118534
24	LTPI4	0.114546
25	LTPI1-1	0.113888

[Stimulus_i_in_25switchBlock] (57 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.418586
2	LOPM8	0.34548
3	LTPI2-0	0.269634
4	LPAI1	0.253441
5	LTPI3	0.226454
6	LOPM9	0.220132
7	LPAM9	0.203702
8	LOAI14-1	0.187077
9	LTPI4	0.178044
10	LOPM10	0.177
11	LOAI13-1	0.162337
12	LOMS13	0.141183
13	LOPS11	0.139708
14	RTPI3	0.132568
15	RTPO1	0.129449
16	LPAI12	0.129034
17	LTPI2-2	0.128664
18	LOAI15-1	0.127237
19	LTPI1-2	0.127172
20	LOPI10	0.125117
21	LOAI12-1	0.1249
22	RPMT1	0.123811
23	ROPM8	0.123009
24	RTPI1	0.118357
25	RPIT1	0.1165

[Stimulus_i_in_75switchBlock] (57 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.371547
2	LOPM8	0.341878
3	LOAI14-1	0.284772
4	LPAM9	0.225073
5	LOAI13-1	0.219623
6	LPAI1	0.219183
7	LOAI15-1	0.20861
8	LPPI7	0.202599
9	LOPM9	0.196991
10	LPPI8	0.19474
11	LPPI9	0.186519
12	LTPI4	0.186222
13	LTPI2-0	0.183298
14	LTPI3	0.175051
15	LTPI1-1	0.171731
16	RTPI1	0.168526
17	LOPM10	0.16645
18	RPIT1	0.15389
19	LTPI2-1	0.153354
20	LOMS13	0.153039
21	RPMT1	0.151139
22	LOMM4	0.147736
23	LTPI2-2	0.146407
24	LPT13	0.145527
25	ROPM1	0.140629

