Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c25] (57 electrodes, showing 25)
rank	electrode	rms_deviation
1	LOPM8	0.337515
2	RHT5	0.317512
3	LOPM9	0.265153
4	LTPI2-0	0.231329
5	LPAI1	0.219897
6	LTPI3	0.204697
7	LOAI14-1	0.197907
8	LOPM10	0.177642
9	LTPI4	0.158155
10	LOAI13-1	0.149915
11	LPAM9	0.147419
12	RPIT1	0.146313
13	LOMS13	0.141048
14	RTPI2	0.114652
15	ROPI5	0.11075
16	LOAI15-1	0.109791
17	LOAI12-1	0.109494
18	LPPI8	0.107761
19	LTOJ13	0.105872
20	LPAI12	0.104875
21	LOAI13-0	0.100727
22	LTMI1	0.0991161
23	RTPI1	0.096529
24	ROPM8	0.094936
25	RTPO1	0.0918863

[Stimulus_c75] (57 electrodes, showing 25)
rank	electrode	rms_deviation
1	LOPM8	0.386071
2	RHT5	0.377638
3	LOAI14-1	0.329155
4	RTOJ2	0.303803
5	LOPM9	0.297933
6	LOAI13-1	0.273545
7	LPAI1	0.260329
8	LTPI2-0	0.235805
9	LOAI15-1	0.233443
10	RTPI3	0.230178
11	LOPM10	0.227356
12	RTPI2	0.220512
13	LPAM9	0.192876
14	LTPI3	0.187708
15	LOAI12-0	0.179609
16	ROPM8	0.175204
17	LOMM4	0.170582
18	LPT13	0.168206
19	LOMS13	0.167179
20	LTPI2-1	0.16334
21	ROPM1	0.15962
22	LTOJ1	0.157889
23	LOAI13-0	0.156109
24	LOAI1	0.155129
25	LTPI4	0.154613

[Stimulus_i25] (57 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.424462
2	LOPM8	0.340682
3	LPPI8	0.319363
4	ROPM1	0.255661
5	LOAI14-1	0.253257
6	LPAI1	0.252091
7	LPAM9	0.249016
8	ROPM8	0.228478
9	LTPI3	0.210771
10	LOPM9	0.205007
11	LTMI1	0.201511
12	LOAI13-1	0.199456
13	RTPO1	0.192519
14	RPMT1	0.186863
15	RTPI1	0.184756
16	LTPI4	0.184727
17	LTPI2-0	0.182743
18	LOPM10	0.172547
19	LOMM4	0.172231
20	LOAI15-1	0.166429
21	LPPI7	0.161449
22	LOMS13	0.158884
23	RPIT1	0.158518
24	LTPI1-1	0.158232
25	LOPI10	0.157016

[Stimulus_i75] (57 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.384947
2	LOPM8	0.341382
3	LTPI2-0	0.250294
4	LPAM9	0.243878
5	LOPM9	0.229041
6	LOAI14-1	0.226669
7	LPAI1	0.222283
8	LTPI4	0.204036
9	LTPI3	0.19555
10	LOPM10	0.193681
11	LOAI13-1	0.170727
12	LOAI15-1	0.146694
13	LOMS13	0.138483
14	ROPM1	0.135722
15	RTPI1	0.128224
16	RPIT1	0.127741
17	RPMT1	0.126601
18	LPPI7	0.123334
19	LPAI12	0.121627
20	ROPM8	0.110451
21	LOPS11	0.107391
22	LOAM15	0.103551
23	RTPO1	0.103008
24	LOPI9	0.102766
25	LOMM4	0.101317

