Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_i75-Stimulus_c75] (57 electrodes, showing 25)
rank	electrode	rms_deviation
1	RTOJ2	0.286446
2	RTPI3	0.242688
3	RTPI2	0.213012
4	LTPI4	0.203197
5	ROPM1	0.187598
6	RTPI1	0.18479
7	LOAI1	0.184131
8	LTOJ1	0.181865
9	LTPI2-0	0.179576
10	LOAI13-1	0.176666
11	LPAI12	0.173611
12	ROPM8	0.16814
13	LOMM3	0.167994
14	LOPM10	0.167396
15	LTPI1-0	0.166708
16	LOAI14-1	0.166338
17	LTPI3	0.164527
18	ROPI5	0.160774
19	LOAI12-1	0.157526
20	LOPM8	0.157439
21	LOMM4	0.15734
22	LPT13	0.156779
23	LOPM9	0.155639
24	LOMS13	0.155344
25	LOAI15-1	0.152908

[Stimulus_i25-Stimulus_c25] (57 electrodes, showing 25)
rank	electrode	rms_deviation
1	ROPM1	0.28096
2	LPPI8	0.279956
3	RTPI1	0.239024
4	ROPM8	0.236215
5	RHT5	0.203982
6	RPIT1	0.203743
7	RTPO1	0.196373
8	RPMT1	0.195854
9	LOPM10	0.193834
10	LOAI12-1	0.192543
11	ROPI5	0.18628
12	LTPI3	0.18039
13	LTMI1	0.179784
14	LTOJ13	0.178219
15	LTPI2-0	0.176951
16	LPAM9	0.17558
17	LTPI4	0.171442
18	LTPI1-1	0.171023
19	LPPI7	0.164953
20	LOPM9	0.161903
21	LOMM4	0.160828
22	LPPI9	0.158137
23	LTPI2-1	0.154529
24	LOAI15-0	0.153669
25	LOPS11	0.148753

