Electrode deviation report for roi: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test. 

[Stimulus_s25] (57 electrodes
rank	electrode	rms_deviation
1	LTPI1-1	0.678306
2	LOPM10	0.670462
3	LOPM8	0.668376
4	LOPM9	0.602384
5	LPPI9	0.577402
6	RTPI1	0.434152
7	LTPI2-0	0.431952
8	RHT5	0.412007
9	LPAI1	0.375861
10	RPIT1	0.370547
11	ROPM1	0.354074
12	LTMI1	0.346028
13	LOMI9	0.316817
14	LPAI12	0.297232
15	LOMS13	0.275862
16	LPPI8	0.270317
17	LTPI3	0.268115
18	LOAI13-1	0.264759
19	LTPI4	0.259552
20	LOAI14-1	0.252832
21	ROPM8	0.251762
22	LOAI12-0	0.245929
23	ROPI5	0.245727
24	LPAI11	0.245416
25	LOAI15-1	0.24109
26	LPAM9	0.240398
27	RTPO1	0.238389
28	LOPI9	0.222221
29	LOAI12-1	0.21899
30	RPMT1	0.211586
31	LPT13	0.210147
32	LOPI10	0.209898
33	LPAM4	0.206096
34	RTPI2	0.205961
35	LTPI1-2	0.199388
36	RTPI3	0.197843
37	LOMM4	0.195622
38	LOMM3	0.192705
39	LTLI3	0.189591
40	LPPI7	0.187172
41	LOPS11	0.178726
42	LTPI1-0	0.17772
43	RTOJ2	0.175071
44	LTOJ13	0.170143
45	LTPI2-2	0.168152
46	LOAI1	0.164414
47	LOAM15	0.158865
48	LTOJ1	0.158632
49	LOMM14	0.156255
50	LOAI13-0	0.141913
51	LTPI2-1	0.138395
52	LOAI15-0	0.137565
53	LOMI8	0.130084
54	LOMI12	0.130037
55	LOMM13	0.12943
56	LOAI14-0	0.125942
57	LOMI11	0.120518

[Stimulus_s75] (57 electrodes
rank	electrode	rms_deviation
1	LOPM8	0.664616
2	LOPM10	0.550121
3	LOPM9	0.53195
4	LTPI1-1	0.524859
5	LPPI9	0.493732
6	ROPM1	0.456569
7	RTPI1	0.4341
8	RHT5	0.395032
9	LTPI2-0	0.383935
10	LOAI13-1	0.326369
11	LOAI14-1	0.318626
12	LOAI15-1	0.31661
13	LPAI1	0.307157
14	RPIT1	0.305211
15	LTMI1	0.295798
16	LPAI12	0.288375
17	LTPI3	0.26177
18	LOMI9	0.260983
19	LOAI12-1	0.242161
20	LPAI11	0.238566
21	LPPI8	0.235415
22	LOMS13	0.2166
23	LTPI4	0.215515
24	LOAI12-0	0.21433
25	ROPI5	0.211495
26	LPAM9	0.199922
27	LPPI7	0.184722
28	ROPM8	0.172154
29	LTPI1-2	0.171388
30	LTPI2-2	0.165107
31	LOPS11	0.164256
32	LOMM4	0.160621
33	LOPI9	0.159795
34	RTPI3	0.159272
35	LTOJ13	0.158066
36	RTPO1	0.157022
37	RPMT1	0.155792
38	LOMM14	0.153893
39	RTOJ2	0.151491
40	LOAI1	0.151081
41	LTOJ1	0.150167
42	LTPI1-0	0.148826
43	RTPI2	0.143577
44	LPAM4	0.143129
45	LPT13	0.14269
46	LOAM15	0.14065
47	LOMM13	0.138603
48	LOMM3	0.127712
49	LOMI8	0.121913
50	LTLI3	0.121384
51	LOAI13-0	0.119306
52	LTPI2-1	0.116245
53	LOPI10	0.109931
54	LOAI15-0	0.109116
55	LOAI14-0	0.0838034
56	LOMI11	0.083748
57	LOMI12	0.078602

[Stimulus_r25] (57 electrodes
rank	electrode	rms_deviation
1	LOPM8	0.619193
2	LTPI1-1	0.540791
3	LOPM10	0.537459
4	LOPM9	0.527155
5	LPPI9	0.506194
6	RHT5	0.421462
7	LPAI1	0.375079
8	LTPI2-0	0.373717
9	RTPI1	0.329069
10	ROPM1	0.32793
11	RPIT1	0.310701
12	LOMI9	0.276228
13	LTPI3	0.257593
14	LTMI1	0.255057
15	LPPI8	0.232425
16	LPAM9	0.2113
17	LTPI4	0.204428
18	LOAI13-1	0.203453
19	ROPI5	0.202762
20	LOAI14-1	0.195643
21	LOMS13	0.190975
22	LPAI12	0.18868
23	LPT13	0.184745
24	LOMM4	0.184103
25	LOAI12-0	0.180804
26	RTPO1	0.176568
27	RTOJ2	0.173239
28	LTOJ1	0.170685
29	RTPI3	0.164853
30	RTPI2	0.161953
31	LTPI1-0	0.159327
32	LOAI12-1	0.15861
33	ROPM8	0.158181
34	LPPI7	0.158149
35	LPAM4	0.157512
36	LPAI11	0.157122
37	LOPI9	0.155045
38	LOAI15-1	0.147973
39	LTLI3	0.147566
40	LOAI1	0.146216
41	LOMM3	0.145777
42	RPMT1	0.143831
43	LTOJ13	0.136901
44	LOPS11	0.133222
45	LOPI10	0.127608
46	LOMM14	0.12538
47	LTPI1-2	0.125266
48	LOAM15	0.120025
49	LTPI2-2	0.115486
50	LOMI8	0.104332
51	LOAI14-0	0.103542
52	LOAI13-0	0.0962527
53	LOMI11	0.0932664
54	LOMM13	0.0878966
55	LOMI12	0.0828951
