Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s75-Stimulus_r75] (57 electrodes, showing 25)
rank	electrode	rms_deviation
1	LPPI7	0.227
2	ROPM8	0.222221
3	LPT13	0.214929
4	ROPI5	0.213924
5	ROPM1	0.207698
6	LPPI9	0.203751
7	LTPI3	0.191144
8	LOMS13	0.188927
9	LTMI1	0.18658
10	LPAI1	0.1862
11	LOPM9	0.184728
12	LOAI12-1	0.184193
13	RTPI2	0.182422
14	LTOJ13	0.178828
15	LPAM4	0.177125
16	LOAI15-0	0.170782
17	LPPI8	0.170604
18	RTPI1	0.170412
19	LOMM3	0.169406
20	LTPI2-0	0.169116
21	LOPM10	0.167135
22	LTPI4	0.163404
23	RPIT1	0.163268
24	LTPI1-1	0.161621
25	RTPO1	0.161493

[Stimulus_s25-Stimulus_r25] (57 electrodes, showing 25)
rank	electrode	rms_deviation
1	LTMI1	0.219116
2	LPPI8	0.212706
3	RTPI2	0.208361
4	RPMT1	0.208149
5	LTPI1-2	0.196661
6	LOAI12-1	0.196116
7	LTPI4	0.192917
8	ROPM1	0.192545
9	ROPI5	0.184401
10	LPAI11	0.182215
11	RPIT1	0.181819
12	RHT5	0.181296
13	LPPI9	0.181148
14	RTPI1	0.17695
15	LOAI12-0	0.175978
16	ROPM8	0.17273
17	LOAI15-1	0.168996
18	LPAI12	0.168175
19	RTPO1	0.166186
20	LOPM10	0.164181
21	LOPM9	0.161763
22	LTPI2-0	0.161552
23	LTPI3	0.159591
24	LOMS13	0.158304
25	LOAI13-1	0.158011

