Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s_in_25incongruentBlock] (57 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.368896
2	LOPM8	0.35195
3	LPAI1	0.292938
4	LOPM9	0.267484
5	LPAM9	0.245338
6	LTPI2-0	0.234954
7	LOAI14-1	0.224871
8	LTPI3	0.197296
9	RPIT1	0.193606
10	LPPI8	0.185684
11	LTMI1	0.182548
12	LOAI13-1	0.181055
13	LOPM10	0.172311
14	LOAI15-1	0.164219
15	ROPM1	0.152177
16	RPMT1	0.150489
17	LOMS13	0.146646
18	LPAI12	0.144898
19	LOAI14-0	0.141764
20	LPAM4	0.139985
21	LOAM15	0.135171
22	RTPO1	0.132439
23	LOAI15-0	0.132042
24	LOAI13-0	0.13094
25	LOAI12-0	0.128026

[Stimulus_s_in_75incongruentBlock] (57 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.358973
2	LOPM8	0.338546
3	LOAI14-1	0.279044
4	LOPM9	0.246221
5	LPAM9	0.242249
6	LTPI2-0	0.225359
7	LOAI13-1	0.218201
8	LOPM10	0.205488
9	LOAI15-1	0.20267
10	LPAI1	0.200054
11	LTPI4	0.193586
12	LTPI2-1	0.180038
13	LOPI9	0.178103
14	LTPI3	0.174016
15	RTPI3	0.161151
16	LPPI9	0.157559
17	LTPI1-1	0.157385
18	LOMS13	0.150784
19	RPMT1	0.149916
20	RTPI1	0.147455
21	LOAM15	0.147135
22	RPIT1	0.139488
23	LOMM4	0.138874
24	RTPI2	0.136035
25	LOAI13-0	0.132536

[Stimulus_r_in_25incongruentBlock] (57 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.367412
2	LOPM8	0.330779
3	LTPI4	0.237404
4	LOPM9	0.227399
5	LOAI14-1	0.222228
6	LTPI3	0.213962
7	LTPI2-0	0.207373
8	LPAI1	0.204032
9	LOAI13-1	0.160811
10	ROPM8	0.150483
11	LOAI12-1	0.150402
12	LOPM10	0.148926
13	LOMS13	0.147182
14	LPAM9	0.140519
15	LTOJ1	0.135816
16	LOAI15-1	0.135052
17	LPPI8	0.132986
18	LPAI11	0.124924
19	LOMI9	0.121917
20	LTLI3	0.117596
21	RTPI3	0.11749
22	LOAI12-0	0.116027
23	RTPI2	0.115847
24	LOMM4	0.115473
25	LTOJ13	0.115456

[Stimulus_r_in_75incongruentBlock] (57 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.419521
2	LOPM8	0.364569
3	LPAI1	0.267617
4	LTPI2-0	0.263875
5	LOPM9	0.248282
6	LOAI14-1	0.231051
7	LTPI3	0.221093
8	LPAM9	0.218079
9	LOPM10	0.202253
10	LOAI13-1	0.182754
11	LTPI4	0.17756
12	RTOJ2	0.171492
13	LOMS13	0.152671
14	LOAI15-1	0.144917
15	RTPI2	0.142022
16	LPPI7	0.141889
17	ROPM8	0.137974
18	ROPM1	0.137223
19	RTPO1	0.127338
20	LOAI12-0	0.124728
21	RPMT1	0.124482
22	LTPI1-2	0.12161
23	RTPI1	0.118601
24	LOPS11	0.113951
25	LPT13	0.113548

