Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_i] (171 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13-0	0.195924
2	LFPS2	0.17462
3	RAI11	0.174299
4	LFO15	0.161708
5	LFMI3-1	0.160273
6	LAI14	0.159303
7	LFPS1	0.151766
8	LFMI5	0.147312
9	LOF13	0.135733
10	LFMM9-0	0.120813
11	LFAM8-1	0.114101
12	RAI12	0.113607
13	LFOP17	0.110881
14	RFAM8	0.110654
15	LFAI3-1	0.109685
16	LAI11	0.109026
17	LFAM9-1	0.107864
18	LAI4-0	0.102653
19	RLOF11	0.102496
20	LINS12	0.102451
21	LFMI3-0	0.101458
22	LFMM8-0	0.101367
23	LFAI14	0.100981
24	RFAM7	0.0988321
25	LFAI9-1	0.0986318

[Stimulus_c] (171 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13-0	0.207437
2	LFPS2	0.178712
3	LAI14	0.178219
4	LFMI5	0.156526
5	LFPS1	0.154482
6	LFAI14	0.148329
7	RAI11	0.138844
8	LFMI3-1	0.13074
9	LFAM9-1	0.116978
10	LFO15	0.116444
11	LFPM12	0.113216
12	RFAL8	0.11012
13	LFAM10-0	0.110063
14	LFOP17	0.108966
15	LFMI4	0.107331
16	LOF16	0.102597
17	LFAI4-0	0.1023
18	RAI12	0.101578
19	LFMM9-0	0.0970771
20	LFMM9-2	0.0966513
21	LMSF5	0.0966229
22	LFOP14	0.0960151
23	LFPM10	0.0957039
24	RFOA16-0	0.0946551
25	LAI3	0.0940904

