Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s] (171 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13-0	0.238047
2	LFPS2	0.198033
3	LAI14	0.171193
4	LFPS1	0.165072
5	LFMI5	0.143939
6	LFMI3-1	0.143856
7	RAI11	0.137972
8	LFAI14	0.130594
9	RAI12	0.124912
10	RFAI3	0.117969
11	LFMM8-0	0.117636
12	RLOF11	0.1149
13	LFMM9-0	0.113474
14	RASF15	0.109576
15	RAI4	0.104024
16	LFO15	0.102973
17	LFOP17	0.102624
18	LFAI5-1	0.101262
19	LOF13	0.100368
20	RPI15	0.0999295
21	LFAI6	0.0994883
22	RFMM11	0.0979885
23	LFMM9-2	0.097644
24	LFAM7	0.0968783
25	LAI7-0	0.0966736

[Stimulus_r] (171 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.172364
2	RAI11	0.171687
3	LAI13-0	0.168829
4	LAI14	0.167714
5	LFMI5	0.157332
6	LFMI3-1	0.152191
7	LFPS1	0.146251
8	LFMI4	0.12111
9	LAI11	0.120712
10	LFAI14	0.117316
11	LOF13	0.114442
12	LFOP17	0.10447
13	RINS11	0.103402
14	RPI14	0.102479
15	RFOA16-1	0.100294
16	LFOP14	0.0997123
17	LFAI3-1	0.0993117
18	LFMM9-0	0.0959234
19	LOF16	0.0955033
20	LAI3	0.095122
21	RFAM8	0.0936218
22	LFAI9-0	0.0921598
23	RINS13	0.0920884
24	RFO13	0.0917507
25	LFPM12	0.0910073

