Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_i] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.378568
2	LOPM8	0.316356
3	LOAI14-1	0.239804
4	LTPI2-0	0.222297
5	LPAI1	0.210786
6	LPAM9	0.207097
7	LOPM9	0.19351
8	LTPI3	0.192509
9	LOAI15-1	0.170539
10	LTPI4	0.166778
11	LOAI13-1	0.160612
12	LOPM10	0.155009
13	RTPI1-1	0.130328
14	LOMS13	0.124636
15	RPIT1	0.116457
16	RTPI1-0	0.111838
17	ROPM8	0.104185
18	ROPI8	0.102477
19	LOAI12-0	0.10052
20	RTPO1	0.100455
21	LOPI9	0.0997757
22	RTPI2	0.0968132
23	LTPI1-0	0.0963051
24	ROPM9	0.0924764
25	LPAI12	0.0919123

[Stimulus_c] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.357247
2	LOPM8	0.339932
3	LOPM9	0.26038
4	LOAI14-1	0.244572
5	LTPI2-0	0.22735
6	LPAI1	0.221075
7	LTPI3	0.19832
8	LOAI13-1	0.180505
9	LOPM10	0.178374
10	LOAI15-1	0.1498
11	LOMS13	0.138848
12	LTPI4	0.134649
13	LPAM9	0.128909
14	ROPI8	0.11454
15	LOAI12-0	0.112108
16	ROPI6	0.106979
17	LPAI12	0.102329
18	ROPM8	0.0985035
19	RTPI1-0	0.0984711
20	ROPM1	0.0970205
21	RPIT1	0.0969647
22	RTPI2	0.0964744
23	LTMI1	0.0942231
24	LOAI13-0	0.0939472
25	ROPI5	0.0937975

