Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.346554
2	LOPM8	0.3247
3	LOAI14-1	0.25414
4	LOPM9	0.232237
5	LTPI2-0	0.226917
6	LPAI1	0.213347
7	LOAI15-1	0.183422
8	LTPI3	0.181063
9	LOAI13-1	0.173602
10	LPAM9	0.167431
11	LOPM10	0.160815
12	LTPI4	0.138874
13	LOMS13	0.135419
14	RPIT1	0.124566
15	RTPI1-0	0.122263
16	LTMI1	0.117769
17	RTPI2	0.116095
18	ROPI8	0.115978
19	LOAI12-0	0.110753
20	LTPI1-0	0.10453
21	LPAI12	0.0985545
22	ROPM1	0.0978198
23	ROPI5	0.0964854
24	ROPI6	0.0963509
25	LOAI13-0	0.0959007

[Stimulus_r] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.405102
2	LOPM8	0.333653
3	LOAI14-1	0.242745
4	LPAI1	0.228574
5	LTPI2-0	0.22498
6	LOPM9	0.21755
7	LTPI3	0.207142
8	LOAI13-1	0.173169
9	LPAM9	0.165618
10	LTPI4	0.153098
11	LOPM10	0.151049
12	LOAI15-1	0.143822
13	LOMS13	0.131207
14	LOPI9	0.111195
15	ROPM8	0.11042
16	RTPI1-1	0.108239
17	LOAI12-0	0.103273
18	LOPI10	0.0996744
19	RTPI1-0	0.0982087
20	RPIT1	0.0977845
21	RTPO1	0.0962236
22	ROPM1	0.0959155
23	ROPM9	0.0957612
24	LTOJ1	0.091162
25	LTPI1-1	0.0865187

