Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c_in_25switchBlock] (171 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS1	0.217541
2	LFPS2	0.209659
3	LIA16	0.205543
4	LAI13-0	0.204139
5	LFMI5	0.199391
6	LAI14	0.198445
7	LIA17	0.185184
8	LIA15	0.182044
9	LFAI4-2	0.179351
10	LFOP14	0.168484
11	LFOP13	0.162951
12	LFMI3-1	0.161115
13	LFMI4	0.158891
14	RAI11	0.158807
15	LFAI2	0.15697
16	LFAI14	0.15336
17	LIA14	0.153315
18	LIA13	0.15202
19	LAI18	0.146078
20	RINS12	0.144609
21	RPI14	0.143839
22	LFAM9-1	0.143568
23	RLOF11	0.143205
24	RFOA16-1	0.142351
25	LFMM8-2	0.141041

[Stimulus_c_in_75switchBlock] (171 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.273899
2	LAI13-0	0.244722
3	LFPS1	0.241285
4	LFAI14	0.227939
5	RLOF11	0.222869
6	LFAI12	0.191851
7	LFAI4-2	0.18974
8	LOF16	0.181949
9	LAI14	0.178829
10	LIA16	0.1733
11	LFAI13	0.170668
12	RAI11	0.167297
13	LFAI11	0.165916
14	LFPM12	0.163464
15	LFA11	0.162747
16	LIA17	0.162208
17	RLOF10	0.153124
18	LMMF9	0.150814
19	RIA11-0	0.149257
20	RAI12	0.148755
21	RIA12	0.148546
22	LFAM10-0	0.145153
23	LFMM8-0	0.144951
24	LFMI5	0.144226
25	LFO15	0.143093

[Stimulus_i_in_25switchBlock] (171 electrodes, showing 25)
rank	electrode	rms_deviation
1	RAI11	0.232233
2	LFPS2	0.21566
3	LAI10-1	0.196306
4	LAI11	0.196236
5	LFPS1	0.18175
6	LFMI3-1	0.16611
7	LFMM9-0	0.162674
8	LFMI5	0.162043
9	LFMM8-0	0.160685
10	RAI12	0.157786
11	LAI14	0.148345
12	RLOF11	0.143876
13	LFAI11	0.143435
14	LFAI9-1	0.142843
15	RFO13	0.14108
16	LOF13	0.138732
17	LAI13-0	0.136782
18	LFO15	0.134908
19	LFMM10-0	0.134426
20	RFAM9	0.133561
21	LFAI5-1	0.131314
22	LFMM9-1	0.130506
23	LFAM8-2	0.130135
24	RFAI3	0.130024
25	RPI14	0.128246

[Stimulus_i_in_75switchBlock] (171 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13-0	0.302594
2	LAI14	0.255244
3	LFO15	0.241878
4	LFAM9-1	0.199585
5	LINS12	0.181793
6	RFAM8	0.17885
7	LFMI3-1	0.177219
8	LFPS1	0.176233
9	LFPS2	0.168549
10	LFAM10-2	0.161677
11	LFA12	0.160127
12	LFMI5	0.156267
13	RINSA3	0.152104
14	RAI11	0.151309
15	RLOF11	0.150449
16	LOF13	0.150441
17	LFAI3-1	0.149494
18	RFAI3	0.146
19	RPI15	0.144485
20	RLOF10	0.13915
21	LAI3	0.138492
22	LFMI3-0	0.137516
23	RAI6-1	0.136991
24	LAI4-0	0.136802
25	RFAM7	0.135435

