Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c25] (171 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13-0	0.205438
2	LFPS2	0.185277
3	LFPS1	0.170177
4	LFO15	0.163364
5	LAI14	0.158071
6	RFAL8	0.153622
7	LFMI5	0.151302
8	LIA13	0.15098
9	LFAM9-1	0.145543
10	LAI4-0	0.143329
11	RAI11	0.143048
12	LFMI3-1	0.139701
13	LFAI14	0.138758
14	LFOP14	0.125617
15	LFAI4-0	0.125002
16	LAI8-0	0.123934
17	LFAM10-0	0.119614
18	LFOP13	0.118096
19	LIA14	0.115161
20	RAMF12	0.108828
21	LINS9	0.107594
22	LFPM12	0.106347
23	RFOA16-0	0.104542
24	RFOA16-1	0.104529
25	LMMF9	0.102919

[Stimulus_c75] (171 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI14	0.349618
2	LAI13-0	0.273655
3	LFPM11	0.23949
4	LFO15	0.22958
5	LFOP17	0.227264
6	LFPM12	0.22447
7	LAI4-0	0.219399
8	LFPM10	0.212387
9	LFMM9-2	0.212379
10	RAI6-1	0.209344
11	LFMM8-2	0.208345
12	LMSF5	0.20425
13	LFMI5	0.204095
14	LFAI14	0.202919
15	LFPS2	0.20099
16	LFMI3-1	0.198681
17	LFPS1	0.196002
18	RLOF11	0.191936
19	LAI3	0.190017
20	RFAM7	0.189729
21	LFAI10-0	0.184933
22	RAI12	0.182937
23	LFAM9-3	0.181056
24	LOF16	0.178983
25	LFMM9-0	0.178412

[Stimulus_i25] (171 electrodes, showing 25)
rank	electrode	rms_deviation
1	RFO13	0.271249
2	LAI13-0	0.254681
3	LFMI3-1	0.232615
4	RAI11	0.227859
5	LFPS2	0.220999
6	RIA11-1	0.216795
7	RFO14	0.212866
8	LFAM10-2	0.204027
9	LFPS1	0.199774
10	LFAI4-2	0.199194
11	RINS6	0.19682
12	LAI12	0.195975
13	LFMM9-2	0.193533
14	LFAI6	0.192703
15	RLOF11	0.192188
16	LFAM7	0.191099
17	RAMF13	0.189018
18	LFAI11	0.187081
19	LAI14	0.186213
20	LFAI3-1	0.1856
21	LFAM12	0.184681
22	LFAI7	0.182356
23	LFAM9-2	0.181953
24	RMMF14	0.181317
25	LFAI5-1	0.18005

[Stimulus_i75] (171 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFO15	0.249674
2	LAI13-0	0.208348
3	LAI14	0.184619
4	LFPS2	0.179191
5	RAI11	0.17809
6	LFMI5	0.160905
7	LFPS1	0.157745
8	LFMI3-1	0.153366
9	LOF13	0.152438
10	LAI4-0	0.151761
11	RFAM8	0.142458
12	RAI12	0.135277
13	LFMM9-0	0.132212
14	LFAM9-1	0.131152
15	LFOP17	0.12138
16	LFAI5-1	0.119796
17	LAI8-0	0.118965
18	RFAM7	0.117775
19	LFAM8-1	0.117421
20	RLOF11	0.115248
21	LFMM8-0	0.113955
22	RFAM15	0.113874
23	RFAM9	0.113231
24	LAI11	0.112078
25	RFO14	0.111446

