Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s_in_25incongruentBlock] (171 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.280333
2	LAI13-0	0.233684
3	LFPS1	0.218288
4	RFAL8	0.190254
5	LMMF9	0.181394
6	LFAI14	0.175823
7	LFMM9-2	0.174694
8	LAI14	0.170662
9	RLOF11	0.168282
10	RAI11	0.168234
11	LFMM8-0	0.159786
12	LFO15	0.159036
13	LFMI3-1	0.154848
14	LMMF10	0.150862
15	RINSA3	0.149298
16	LFAI5-1	0.148389
17	LFAI4-0	0.147401
18	LFA11	0.14694
19	LIA16	0.146142
20	LFAI12	0.142711
21	LIA17	0.140784
22	RFMM11	0.140646
23	LAI4-0	0.137678
24	LFMI5	0.134955
25	RAMF12	0.134749

[Stimulus_s_in_75incongruentBlock] (171 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13-0	0.29318
2	LAI14	0.270907
3	LFO15	0.25356
4	LAI4-0	0.187159
5	LFMI3-1	0.186826
6	LFPS1	0.171229
7	LFPS2	0.170619
8	LAI8-0	0.169334
9	LFMI5	0.16926
10	RFAM8	0.167611
11	RFO14	0.158766
12	RFO13	0.15615
13	LFAM9-1	0.15566
14	RAI12	0.148081
15	RFAI3	0.143814
16	LOF13	0.143164
17	LFAI7	0.142835
18	LFAM11-1	0.138441
19	LFOP17	0.137642
20	LFAI4-0	0.136969
21	LFAM7	0.136007
22	LAI3	0.135965
23	RAI11	0.135662
24	LFMM9-0	0.135332
25	LFAM12	0.132521

[Stimulus_r_in_25incongruentBlock] (171 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13-0	0.205648
2	LFOP14	0.1826
3	LFPS1	0.178494
4	RAI11	0.17049
5	LAI14	0.168714
6	LIA13	0.162531
7	LFMI5	0.160995
8	LFOP13	0.160243
9	LFPS2	0.158919
10	LIA16	0.157338
11	LFMI3-1	0.156408
12	LFO15	0.154433
13	LFAM11-0	0.153778
14	LMSF5	0.145001
15	LAI12	0.143305
16	LFAM12	0.142372
17	LAI8-0	0.137545
18	LFAM9-1	0.137328
19	LIA15	0.136396
20	LFAM10-0	0.135516
21	LAI4-0	0.135512
22	LIA14	0.13478
23	RASF15	0.13476
24	RMMF14	0.134475
25	LFAI4-2	0.131516

[Stimulus_r_in_75incongruentBlock] (171 electrodes, showing 25)
rank	electrode	rms_deviation
1	RAI11	0.213205
2	LAI14	0.207002
3	LFPS2	0.20652
4	LFO15	0.19559
5	LOF13	0.180453
6	LFMI5	0.178256
7	LAI13-0	0.174253
8	LFMI3-1	0.166598
9	LAI11	0.158802
10	RFAM7	0.157634
11	LAI4-0	0.155209
12	LFPS1	0.151861
13	RFAM8	0.15137
14	LFMM9-0	0.148035
15	LFAI13	0.147844
16	LFA10	0.147054
17	RAI12	0.140386
18	LFMI4	0.140113
19	LFAI9-0	0.139364
20	LFOP17	0.13706
21	RAI15	0.136288
22	LFAI14	0.13495
23	LAI3	0.134625
24	LFAI6	0.13253
25	LFAI10-0	0.130602

