Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c_in_25switchBlock] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.380706
2	LOPM8	0.3559
3	LOAI14-1	0.269445
4	LOPM9	0.261242
5	LTPI3	0.237502
6	LTPI2-0	0.215796
7	LOAI15-1	0.204444
8	LPAI1	0.198651
9	LOAI13-1	0.194975
10	LTPI4	0.186689
11	LOPM10	0.184911
12	LPAM9	0.164794
13	ROPI6	0.142483
14	LOAI12-1	0.14073
15	ROPI5	0.139568
16	ROPI8	0.138793
17	LOMS13	0.13696
18	ROPM1	0.136105
19	ROPM8	0.133403
20	LTPI1-1	0.123587
21	LOPI10	0.120089
22	RTPI1-1	0.117788
23	RPIT1	0.116991
24	LOPI9	0.11641
25	LTMI1	0.116269

[Stimulus_c_in_75switchBlock] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.365328
2	LOPM8	0.334937
3	LPAI1	0.271723
4	LTPI2-0	0.269371
5	LOPM9	0.268845
6	LOAI14-1	0.265905
7	LTPI3	0.202567
8	LOAI15-1	0.20086
9	LOAI13-1	0.194121
10	LOPM10	0.182474
11	LTMI1	0.174308
12	LOMS13	0.168035
13	LPAM9	0.162182
14	RPIT1	0.161929
15	LPAI12	0.160642
16	RTPI1-0	0.155607
17	LTPI2-1	0.153689
18	RTPI2	0.147864
19	ROPI8	0.142276
20	LOAM15	0.140657
21	LOAI12-0	0.137957
22	LTPI1-0	0.119981
23	LOPI10	0.119735
24	LOAI13-0	0.116687
25	RTPO1	0.115216

[Stimulus_i_in_25switchBlock] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.408492
2	LOPM8	0.336472
3	LTPI2-0	0.278967
4	LPAI1	0.248986
5	LTPI3	0.235923
6	LOPM9	0.212266
7	LOAI14-1	0.206649
8	LPAM9	0.203111
9	LTPI4	0.181439
10	LOAI13-1	0.171201
11	LOPM10	0.166561
12	LOAI15-1	0.15213
13	LOMS13	0.136959
14	ROPM9	0.129991
15	RTPI1-0	0.12991
16	RTPI1-1	0.129271
17	ROPM8	0.126236
18	LOPI10	0.126205
19	RTPI2	0.125915
20	RTPO1	0.125557
21	LOPI9	0.125475
22	LOAI12-0	0.120125
23	LPAI12	0.118452
24	ROPI6	0.117761
25	ROPI8	0.117505

[Stimulus_i_in_75switchBlock] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.359067
2	LOPM8	0.319699
3	LOAI14-1	0.293526
4	LPAM9	0.226339
5	LOAI15-1	0.212197
6	LPAI1	0.210659
7	LOAI13-1	0.207028
8	RTPI1-1	0.197572
9	LTPI2-0	0.182901
10	LOPM9	0.182436
11	LTPI4	0.18156
12	LTPI3	0.178515
13	LTPI1-0	0.171017
14	LPPI9	0.167885
15	RPIT1	0.1587
16	LOPM10	0.154153
17	ROPI8	0.149914
18	LOMS13	0.149307
19	RTPI1-0	0.147267
20	LTPI1-1	0.138952
21	LTPI2-2	0.138126
22	ROPM1	0.135736
23	LOAI13-0	0.133109
24	LOAI15-0	0.13055
25	ROPM9	0.129858

