Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c25] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.360312
2	LOPM8	0.330505
3	LOPM9	0.256289
4	LTPI2-0	0.230225
5	LOAI14-1	0.214942
6	LPAI1	0.213827
7	LTPI3	0.212617
8	LOPM10	0.175366
9	LOAI13-1	0.160566
10	LTPI4	0.14703
11	LOMS13	0.138498
12	LPAM9	0.133579
13	LOAI15-1	0.129893
14	ROPI6	0.120925
15	LOPI9	0.116654
16	RPIT1	0.116506
17	LPAI12	0.115957
18	ROPI8	0.112119
19	LTMI1	0.107788
20	ROPI5	0.106228
21	LPPI8	0.104046
22	LOAI12-0	0.103988
23	LTOJ13	0.103888
24	RTPI2	0.100376
25	LOAI13-0	0.0994918

[Stimulus_c75] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	LOPM8	0.386701
2	RHT5	0.361993
3	LOAI14-1	0.347898
4	LOPM9	0.293361
5	LOAI13-1	0.268772
6	LOAI15-1	0.263553
7	LPAI1	0.255537
8	LTPI2-0	0.233264
9	LOPM10	0.224759
10	RTPI1-0	0.201021
11	ROPI8	0.192649
12	LPAM9	0.192164
13	LTPI3	0.191305
14	LOAI12-0	0.188631
15	LTLI3	0.178133
16	ROPM9	0.177762
17	RTPI2	0.176999
18	LTPI2-1	0.175138
19	ROPM8	0.173509
20	ROPM1	0.172438
21	LOMS13	0.170548
22	RTPI1-1	0.16391
23	LOAI13-0	0.159459
24	LOAI12-1	0.146745
25	LOMI12	0.144782

[Stimulus_i25] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.416475
2	LOPM8	0.334037
3	LOAI14-1	0.267696
4	ROPM1	0.265847
5	ROPM8	0.237897
6	LPAI1	0.237106
7	LPAM9	0.234461
8	ROPM9	0.226134
9	LTPI3	0.221842
10	LTMI1	0.209138
11	LOAI13-1	0.208584
12	RTPI1-1	0.206693
13	LOPM9	0.196712
14	RTPO1	0.195216
15	LTPI2-0	0.191063
16	LOPI9	0.188472
17	LTLI3	0.176735
18	ROPI8	0.161073
19	LOAI15-1	0.160955
20	LTPI1-0	0.160562
21	LOMS13	0.160525
22	LOPI10	0.158582
23	RPIT1	0.158245
24	LOPM10	0.157626
25	LTPI4	0.157183

[Stimulus_i75] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.373071
2	LOPM8	0.322887
3	LTPI2-0	0.255214
4	LPAM9	0.249166
5	LOAI14-1	0.241712
6	LPAI1	0.217585
7	LOPM9	0.214772
8	LTPI3	0.202931
9	LTPI4	0.199223
10	LOAI15-1	0.182958
11	LOPM10	0.180648
12	LOAI13-1	0.163237
13	RTPI1-1	0.145824
14	LOMS13	0.133608
15	RPIT1	0.12735
16	RTPI1-0	0.121968
17	ROPM1	0.117398
18	LPAI12	0.111977
19	ROPM8	0.109832
20	ROPI8	0.107314
21	LOAI12-0	0.10492
22	LTPI1-0	0.103806
23	RTPI2	0.102182
24	LOPI9	0.100893
25	LPPI7	0.0993511

