Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_i75-Stimulus_c75] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	RTPI1-0	0.201807
2	LTPI2-1	0.201178
3	LTPI4	0.199812
4	ROPM1	0.198281
5	ROPI8	0.197447
6	RTPI1-1	0.188648
7	LTPI2-0	0.180914
8	RTPI2	0.177697
9	LOAI13-1	0.175966
10	LOAI14-1	0.175598
11	LOAI15-1	0.173791
12	LTLI3	0.172973
13	LTPI3	0.169726
14	LPAI12	0.168537
15	ROPM9	0.163346
16	ROPM8	0.162568
17	LOPM10	0.158693
18	LOAI12-0	0.15812
19	LTOJ1	0.156147
20	LOMS13	0.155718
21	ROPI5	0.151737
22	LOAI12-1	0.151127
23	LOPM9	0.150345
24	LTOJ13	0.150108
25	LTPI1-0	0.144529

[Stimulus_i25-Stimulus_c25] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	ROPM1	0.276044
2	RTPI1-1	0.243018
3	ROPM8	0.239572
4	ROPM9	0.226438
5	RTPO1	0.201711
6	ROPI8	0.201082
7	ROPI6	0.189057
8	LTPI3	0.187909
9	LOAI12-1	0.185754
10	LTOJ13	0.181638
11	LTPI2-0	0.179399
12	LOPM10	0.178802
13	LTMI1	0.175853
14	ROPI5	0.175708
15	LPAM9	0.175531
16	RPIT1	0.171784
17	LTLI3	0.169472
18	LTPI1-0	0.166861
19	LPPI8	0.160883
20	RTPI1-0	0.158254
21	LPPI7	0.155962
22	LOPM9	0.154531
23	RTPI2	0.1507
24	LTPI2-1	0.147095
25	LOAI15-0	0.145334

