Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s25] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	LOPM8	0.35133
2	RHT5	0.349977
3	LTPI2-0	0.265714
4	LPAI1	0.248928
5	LOAI14-1	0.235614
6	LOPM9	0.235376
7	LTPI3	0.222504
8	LTMI1	0.215309
9	ROPM1	0.214719
10	LOAI12-1	0.213038
11	LOAI13-1	0.207833
12	LTPI4	0.206064
13	RTPI2	0.204359
14	ROPI5	0.181744
15	LPAM9	0.18029
16	LPPI8	0.178164
17	RPIT1	0.176492
18	RTPI1-1	0.175206
19	RTPI1-0	0.172322
20	RTPO1	0.16918
21	LOAI12-0	0.16693
22	LOPM10	0.165969
23	LPAI12	0.160026
24	ROPM9	0.159697
25	LOMS13	0.159588

[Stimulus_s75] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.353739
2	LOPM8	0.323501
3	LOAI14-1	0.2691
4	LOPM9	0.237735
5	LPAI1	0.226328
6	LTPI2-0	0.22314
7	LOAI15-1	0.217839
8	LTPI3	0.193507
9	LOAI13-1	0.192802
10	LPAM9	0.17835
11	LOPM10	0.175646
12	LOMS13	0.145851
13	ROPM1	0.141536
14	RTPI1-0	0.140571
15	LTPI4	0.138216
16	LTPI1-0	0.138052
17	ROPI8	0.131958
18	LTMI1	0.124206
19	LPAI12	0.123369
20	RTPI2	0.122964
21	RPIT1	0.116054
22	LOAI13-0	0.109249
23	LOAI12-0	0.107024
24	LPPI9	0.104697
25	ROPI6	0.102

[Stimulus_r25] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.413581
2	LOPM8	0.343359
3	LOPM9	0.24371
4	LOAI14-1	0.234591
5	LTPI2-0	0.227021
6	LTPI3	0.225078
7	LPAI1	0.218224
8	LOPM10	0.178703
9	LPAM9	0.177146
10	LOAI13-1	0.176669
11	LOAI15-1	0.17191
12	LTPI4	0.169908
13	LOPI9	0.120115
14	LOMS13	0.120046
15	LOPI10	0.114756
16	LTPI1-1	0.113736
17	LOAI12-0	0.112199
18	ROPM8	0.108204
19	LOAI12-1	0.104169
20	RTPI1-1	0.103596
21	ROPM1	0.10226
22	LTPI2-2	0.101754
23	ROPI8	0.100468
24	ROPM9	0.100133
25	LTOJ1	0.0967705

[Stimulus_r75] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.396086
2	LOPM8	0.314596
3	LOAI14-1	0.301902
4	LPAI1	0.280577
5	LTPI2-0	0.265625
6	LOMS13	0.212117
7	LOAI13-1	0.211816
8	RTPI1-1	0.205596
9	ROPM8	0.204615
10	RTPI1-0	0.202551
11	LTMI1	0.200971
12	LTPI3	0.199623
13	LPPI9	0.198949
14	LPPI8	0.193268
15	ROPM9	0.189868
16	LOAI15-1	0.189822
17	RPIT1	0.189464
18	LOPM9	0.180084
19	LPAM4	0.176546
20	ROPI8	0.171285
21	LTPI4	0.1711
22	ROPI5	0.167098
23	LOAI12-1	0.164186
24	LPAM9	0.160971
25	ROPI6	0.16091

