Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s_in_25incongruentBlock] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.362174
2	LOPM8	0.338782
3	LPAI1	0.271766
4	LOPM9	0.254762
5	LTPI2-0	0.240904
6	LOAI14-1	0.236176
7	LPAM9	0.226434
8	LTPI3	0.214679
9	LOAI13-1	0.189575
10	LTMI1	0.18811
11	LOAI15-1	0.171855
12	LOPM10	0.166486
13	LOMS13	0.157459
14	ROPI8	0.153254
15	LPAI12	0.152272
16	LOAM15	0.151299
17	RPIT1	0.150804
18	ROPM1	0.150596
19	LPAM4	0.146363
20	ROPM9	0.146017
21	LOAI14-0	0.139751
22	LOAI15-0	0.138982
23	LOAI12-0	0.138142
24	RTPO1	0.135866
25	RTPI2	0.134791

[Stimulus_s_in_75incongruentBlock] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.3447
2	LOPM8	0.321948
3	LOAI14-1	0.285186
4	LPAM9	0.246463
5	LOPM9	0.233939
6	LTPI2-0	0.225604
7	LOAI15-1	0.213255
8	LOAI13-1	0.20565
9	LPAI1	0.198265
10	LOPM10	0.192802
11	LTPI4	0.188158
12	LTPI3	0.173662
13	RTPI1-1	0.161678
14	LTPI1-0	0.159346
15	RTPI1-0	0.151711
16	LOPI9	0.151665
17	LOMS13	0.149116
18	RPIT1	0.144446
19	LTPI1-1	0.140331
20	LPPI9	0.138485
21	LOAI13-0	0.134478
22	ROPI8	0.129934
23	RTPI2	0.126942
24	LPAI12	0.120258
25	RTPO1	0.118645

[Stimulus_r_in_25incongruentBlock] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.41008
2	LOPM8	0.328313
3	LOAI14-1	0.250489
4	LOPM9	0.221892
5	LPAI1	0.20625
6	LTPI2-0	0.204435
7	LTPI3	0.203096
8	LOAI13-1	0.171407
9	LTPI4	0.169122
10	LOAI15-1	0.155118
11	LOPM10	0.149351
12	ROPM8	0.149122
13	LOAI12-1	0.138668
14	LPAM9	0.137324
15	LOPI9	0.137323
16	LTOJ1	0.136539
17	LOMS13	0.133755
18	LPPI8	0.124155
19	LPAI11	0.12003
20	RTPI1-0	0.119475
21	LOAI12-0	0.119266
22	LTOJ13	0.11904
23	LOMI9	0.118196
24	RPIT1	0.118091
25	LTPI2-2	0.114309

[Stimulus_r_in_75incongruentBlock] (54 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.408554
2	LOPM8	0.355314
3	LTPI2-0	0.270385
4	LPAI1	0.260315
5	LOAI14-1	0.255536
6	LOPM9	0.237101
7	LTPI3	0.231772
8	LPAM9	0.219466
9	LOPM10	0.193599
10	LOAI15-1	0.189934
11	LOAI13-1	0.185546
12	LTPI4	0.172005
13	LOMS13	0.149808
14	RTPI1-1	0.14152
15	ROPM8	0.139659
16	LOAI12-0	0.138786
17	LTLI3	0.1321
18	ROPM1	0.125415
19	RTPI1-0	0.122186
20	RTPO1	0.122061
21	ROPM9	0.116762
22	RTPI2	0.115262
23	LOPI10	0.112226
24	LPPI7	0.111445
25	LOPI9	0.106359

