condition,tstart,tend,center,mean,std,sem,n_pairs
stimulus_c75,-1.0,-0.5,-0.75,0.5897406584350379,0.11578872113137717,0.002799247200008635,1711
stimulus_c75,-0.5,0.0,-0.25,0.5800055449217179,0.1080666791195166,0.002612563175270822,1711
stimulus_c75,0.0,0.5,0.25,0.5952247084186567,0.11437802414372708,0.00276514293187133,1711
stimulus_c75,0.5,1.0,0.75,0.6063971218457797,0.10937726041564959,0.0026442470991257317,1711
stimulus_c75,1.0,1.5,1.25,0.5785266718631519,0.11194262943179689,0.002706266110695014,1711
stimulus_c25,-1.0,-0.5,-0.75,0.5832683087737174,0.11138049915235064,0.0026926763448231325,1711
stimulus_c25,-0.5,0.0,-0.25,0.5734487734549923,0.10831742938862045,0.002618625181844795,1711
stimulus_c25,0.0,0.5,0.25,0.5796171795074274,0.10796895534480874,0.0026102006567107036,1711
stimulus_c25,0.5,1.0,0.75,0.5859618575018727,0.1134976346310626,0.002743859098228787,1711
stimulus_c25,1.0,1.5,1.25,0.5948794207720438,0.11163287662410003,0.002698777689792114,1711
stimulus_i75,-1.0,-0.5,-0.75,0.5975123755702273,0.1144754727542004,0.0027674987982056914,1711
stimulus_i75,-0.5,0.0,-0.25,0.590146636791344,0.10979504045552478,0.0026543471295554077,1711
stimulus_i75,0.0,0.5,0.25,0.5835590267550868,0.10933809855123601,0.002643300342496626,1711
stimulus_i75,0.5,1.0,0.75,0.5982559308601448,0.11317468409504908,0.0027360516159900686,1711
stimulus_i75,1.0,1.5,1.25,0.6112657723537287,0.11470953153787718,0.0027731572802101798,1711
stimulus_i25,-1.0,-0.5,-0.75,0.6103962734577788,0.11295098187504711,0.0027306435088198916,1711
stimulus_i25,-0.5,0.0,-0.25,0.5866270448798928,0.10947164456182704,0.0026465288805836394,1711
stimulus_i25,0.0,0.5,0.25,0.5877246545010015,0.10646016273662323,0.0025737248804641993,1711
stimulus_i25,0.5,1.0,0.75,0.5865017678316524,0.11692726760348071,0.002826772100473676,1711
stimulus_i25,1.0,1.5,1.25,0.6103386694739209,0.1126506756115955,0.0027233834626003797,1711
