condition,tstart,tend,center,mean,std,sem,n_pairs
stimulus_blockA,-1.0,-0.5,-0.75,0.18632036234468952,0.12784600834893167,0.0024216907812425574,2787
stimulus_blockA,-0.5,0.0,-0.25,0.1800717308605904,0.12500088950089244,0.00236779783476095,2787
stimulus_blockA,0.0,0.5,0.25,0.1849553014300827,0.12115334206822967,0.002294916637542478,2787
stimulus_blockA,0.5,1.0,0.75,0.18028280014029777,0.12445996853888917,0.002357551575812537,2787
stimulus_blockA,1.0,1.5,1.25,0.18221922173393001,0.12662695715851374,0.002398599211409258,2787
stimulus_blockB,-1.0,-0.5,-0.75,0.1702477379971405,0.12065591212171477,0.0025573256058298746,2226
stimulus_blockB,-0.5,0.0,-0.25,0.16524325602645495,0.11398241788797991,0.002415879593080229,2226
stimulus_blockB,0.0,0.5,0.25,0.17026348651699275,0.11610925915055371,0.0024609584087360156,2226
stimulus_blockB,0.5,1.0,0.75,0.17252349239206885,0.12027971331305391,0.0025493519986575994,2226
stimulus_blockB,1.0,1.5,1.25,0.16618370957007597,0.11973326337623004,0.0025377698855960024,2226
stimulus_blockC,-1.0,-0.5,-0.75,0.17719536206906752,0.13492575249816857,0.0034282235975776733,1549
stimulus_blockC,-0.5,0.0,-0.25,0.1785311016109969,0.14279830785573963,0.003628251239079454,1549
stimulus_blockC,0.0,0.5,0.25,0.17757175371787717,0.13184721816576858,0.003350003510982789,1549
stimulus_blockC,0.5,1.0,0.75,0.17148148111824743,0.13618285572897776,0.003460164356703769,1549
stimulus_blockC,1.0,1.5,1.25,0.1682689293974859,0.13214041538934987,0.0033574531314000573,1549
stimulus_blockD,-1.0,-0.5,-0.75,0.18034380132119956,0.12787199297899832,0.0024045606264705296,2828
stimulus_blockD,-0.5,0.0,-0.25,0.18001339011310544,0.12649578749170662,0.0023786818593411413,2828
stimulus_blockD,0.0,0.5,0.25,0.1847879297055904,0.12338978871490883,0.002320275306111145,2828
stimulus_blockD,0.5,1.0,0.75,0.18266432288691178,0.12586609564107124,0.002366840859638447,2828
stimulus_blockD,1.0,1.5,1.25,0.1822522583300237,0.12686352681779348,0.0023855969897282813,2828
