ch1,ch2,n_A,n_B,mean_A,mean_B,mean_diff,time_window,perm_n,perm_pval,perm_method,perm_significant,perm_exclude_self,perm_alternative,perm_q_bh,perm_significant_bh
RAI16,LASF11,1,1,0.5172073348720212,0.5493730569425267,-0.0321657220705055,"(-0.5,0.0)",1260,0.01,without_replacement,True,True,greater,0.03916666666666667,True
RAI16,LASF15,1,1,,0.5116954354950033,,"(-0.5,0.0)",1008,0.0,without_replacement,True,True,greater,0.0,True
RAI16,LASF16,1,1,0.5546262982993136,0.5315623492279425,0.023063949071371104,"(-0.5,0.0)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI16,LPSF12,1,1,0.5626107583809398,0.521225837080002,0.04138492130093774,"(-0.5,0.0)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI16,RAI11,1,1,0.5118188831663192,0.5812600558087029,-0.0694411726423837,"(-0.5,0.0)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI16,RASF15,1,1,0.5115355649622174,0.592662293585958,-0.0811267286237406,"(-0.5,0.0)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI16,RMMF14,1,1,0.5211649815351693,0.563345784948044,-0.04218080341287467,"(-0.5,0.0)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI5,LASF11,1,1,0.5123218463063354,0.5530774396171598,-0.040755593310824456,"(-0.5,0.0)",1260,0.01,without_replacement,True,True,greater,0.03916666666666667,True
RAI5,RAI10,1,1,0.6350118239871122,,,"(-0.5,0.0)",1225,0.0,without_replacement,True,True,greater,0.0,True
RAI5,RAI16,1,1,0.538682094599511,0.5526527704133047,-0.013970675813793743,"(-0.5,0.0)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI5,RAI6,1,1,0.5598846448292605,0.5466157725478309,0.013268872281429589,"(-0.5,0.0)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI5,RAMF14,1,1,0.5071601788014387,0.5919525956462778,-0.08479241684483907,"(-0.5,0.0)",1260,0.0,without_replacement,True,True,greater,0.0,True
