ch1,ch2,n_A,n_B,mean_A,mean_B,mean_diff,time_window,perm_n,perm_pval,perm_method,perm_significant,perm_exclude_self,perm_alternative,perm_q_bh,perm_significant_bh
RAI15,RAI16,1,1,0.6446257026878434,0.5402616261245292,0.10436407656331415,"(-1.0,-0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAI16,RAI13,1,1,0.575471644944554,0.6031723783131685,-0.02770073336861445,"(-1.0,-0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAI6,RAI12,1,1,0.5436968926947892,,,"(-1.0,-0.5)",256,0.0,without_replacement,True,True,greater,0.0,True
RAI6,RAI14,1,1,0.5720920520320563,0.6211592008012732,-0.04906714876921692,"(-1.0,-0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF11,RAI13,1,1,0.5639194289927274,0.5827592450739878,-0.018839816081260397,"(-1.0,-0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF11,RAI15,1,1,0.5210479546350671,0.603276838497221,-0.08222888386215388,"(-1.0,-0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF11,RAIF13,1,1,0.692518219169119,0.5401889755636602,0.15232924360545885,"(-1.0,-0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF11,RPI15,1,1,0.5623818535925088,0.6127519686531586,-0.05037011506064981,"(-1.0,-0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF12,RAI12,1,1,0.601691067933626,0.5836016651235104,0.018089402810115618,"(-1.0,-0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF12,RAI15,1,1,0.5825838671814177,0.5313457150362523,0.05123815214516547,"(-1.0,-0.5)",272,0.01,without_replacement,True,True,greater,0.0425,True
RAIF12,RAI16,1,1,0.6916642998901662,0.5051356891067289,0.1865286107834373,"(-1.0,-0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF12,RPI14,1,1,0.5891699056283229,0.5490573690627145,0.040112536565608425,"(-1.0,-0.5)",272,0.005,without_replacement,True,True,greater,0.025185185185185185,True
RAIF13,RAIF14,1,1,0.5396337087286639,0.645623515236195,-0.10598980650753109,"(-1.0,-0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF13,RAMF10,1,1,0.6350179366037075,0.4945365019893425,0.14048143461436502,"(-1.0,-0.5)",272,0.005,without_replacement,True,True,greater,0.025185185185185185,True
RAIF14,RAI13,1,1,0.5482505006004194,0.7673469993490667,-0.21909649874864734,"(-1.0,-0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF14,RAI14,1,1,0.5066709753329425,0.6508351755419952,-0.14416420020905274,"(-1.0,-0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF14,RAMF10,1,1,0.5719764313938674,0.5687549516526215,0.0032214797412459806,"(-1.0,-0.5)",272,0.005,without_replacement,True,True,greater,0.025185185185185185,True
RAMF10,RAI12,1,1,0.5597371884987066,0.566017645295515,-0.006280456796808442,"(-1.0,-0.5)",272,0.005,without_replacement,True,True,greater,0.025185185185185185,True
RAMF11,RAI15,1,1,0.5799611294398556,0.5465048660625219,0.03345626337733365,"(-1.0,-0.5)",272,0.01,without_replacement,True,True,greater,0.0425,True
RAMF12,RAI13,1,1,0.5485520006075507,0.6122056773378126,-0.0636536767302619,"(-1.0,-0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAMF12,RAMF13,1,1,0.6072667037379098,0.5551432184804691,0.052123485257440705,"(-1.0,-0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAMF12,RAMF14,1,1,0.535288998955856,0.6476957128987847,-0.11240671394292867,"(-1.0,-0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAMF12,RPI15,1,1,0.5951055061121316,0.5344377057860646,0.060667800326067,"(-1.0,-0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAMF13,RAI15,1,1,0.5614200845694417,0.5652885387197714,-0.0038684541503296588,"(-1.0,-0.5)",272,0.005,without_replacement,True,True,greater,0.025185185185185185,True
RAMF13,RAMF14,1,1,0.5035245040170995,0.622865363392869,-0.11934085937576955,"(-1.0,-0.5)",272,0.01,without_replacement,True,True,greater,0.0425,True
RAMF14,RAI14,1,1,0.554871501740106,0.5753226545183838,-0.020451152778277804,"(-1.0,-0.5)",272,0.005,without_replacement,True,True,greater,0.025185185185185185,True
RPI14,RAI14,1,1,0.5569090133851019,0.5657370182769126,-0.008828004891810681,"(-1.0,-0.5)",272,0.01,without_replacement,True,True,greater,0.0425,True
RPI14,RAI16,1,1,0.5949059633628984,0.5253930464844366,0.06951291687846173,"(-1.0,-0.5)",272,0.01,without_replacement,True,True,greater,0.0425,True
RPI14,RAMF11,1,1,0.5809074904717305,0.5902698821017848,-0.009362391630054256,"(-1.0,-0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RPI15,RAI13,1,1,0.5301409396131244,0.6560177217860296,-0.1258767821729052,"(-1.0,-0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RPI15,RAI14,1,1,0.4820226588620612,0.6688864912029796,-0.1868638323409184,"(-1.0,-0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RPI15,RAI6,1,1,0.5488817070710277,0.616131529914168,-0.0672498228431403,"(-1.0,-0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
