ch1,ch2,n_A,n_B,mean_A,mean_B,mean_diff,time_window,perm_n,perm_pval,perm_method,perm_significant,perm_exclude_self,perm_alternative,perm_q_bh,perm_significant_bh
RAI16,LASF11,1,1,0.5013914607893476,0.6203740162918083,-0.11898255550246073,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI16,LASF15,1,1,,0.5626712704993665,,"(0.0,0.5)",1008,0.0,without_replacement,True,True,greater,0.0,True
RAI16,LMSF5,1,1,0.5243898067402808,0.5498117022855353,-0.025421895545254536,"(0.0,0.5)",1260,0.01,without_replacement,True,True,greater,0.04,True
RAI16,LMSF6,1,1,0.5164221740810402,0.5985038927073199,-0.08208171862627966,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI16,RAI11,1,1,0.5154765216646575,0.615343867944293,-0.09986734627963545,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI16,RAMF12,1,1,0.5567480336964337,0.5409723350531149,0.015775698643318736,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI16,RAMF13,1,1,0.6074293698416806,0.532328711841426,0.07510065800025456,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI16,RASF15,1,1,0.5216644743346558,0.5526383230933821,-0.03097384875872633,"(0.0,0.5)",1260,0.005,without_replacement,True,True,greater,0.02088888888888889,True
RAI16,RASF16,1,1,0.5199769186645224,0.5543739497878526,-0.034397031123330146,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI16,RMSF7,1,1,0.531335386424993,0.5919194170656195,-0.06058403064062645,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI16,RMSF9,1,1,0.5379208710840366,0.5572476185371126,-0.019326747453075943,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI5,LASF14,1,1,0.5017271287634548,0.5912728946320219,-0.0895457658685671,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI5,RAI10,1,1,0.5714745200637354,,,"(0.0,0.5)",1191,0.0,without_replacement,True,True,greater,0.0,True
RAI5,RAI4,1,1,0.5290030125474865,0.5578929687980875,-0.02888995625060098,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI5,RAMF11,1,1,0.5424287950669767,0.5503999871519949,-0.007971192085018175,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI5,RMMF9,1,1,0.5616481513845251,0.5269075585225922,0.03474059286193287,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI5,RMSF7,1,1,0.5174424471699781,0.5541606975691653,-0.03671825039918719,"(0.0,0.5)",1260,0.005,without_replacement,True,True,greater,0.02088888888888889,True
RAI5,RMSF9,1,1,0.5767883738923931,0.5146965992330308,0.06209177465936233,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI5,ROF16,1,1,0.5035292778235015,0.5974540250041787,-0.09392474718067712,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAMF11,RAI4,1,1,0.5387306710489572,0.542963309106392,-0.00423263805743479,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAMF11,RAMF10,1,1,0.5294377663216543,0.5457690768890088,-0.016331310567354484,"(0.0,0.5)",1260,0.005,without_replacement,True,True,greater,0.02088888888888889,True
RAMF11,RAMF14,1,1,0.5641722484899987,0.5217893050348487,0.042382943455150035,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAMF11,RMMF13,1,1,0.5648155646590751,0.5287593154392437,0.036056249219831416,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAMF11,RMSF10,1,1,0.5356893583754077,0.5809965227592395,-0.045307164383831866,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAMF11,RMSF11,1,1,0.6092485898444417,0.5461415610470951,0.06310702879734664,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAMF11,RMSF8,1,1,0.5131647547450454,0.5592681967433707,-0.04610344199832528,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
