ch1,ch2,n_A,n_B,mean_A,mean_B,mean_diff,perm_n,perm_pval,perm_method,perm_significant,perm_exclude_self,perm_alternative
RAI16,LASF10,1,1,0.4971648074732843,0.4684137907569456,0.028751016716338673,1008,0.0,without_replacement,True,True,greater
RAI16,LASF15,1,1,0.5687302871815345,,,1260,0.045,without_replacement,True,True,greater
RAI16,LPSF10,1,1,0.5451272214686764,0.4750653508105678,0.07006187065810865,1260,0.0,without_replacement,True,True,greater
RAI16,RAI6,1,1,0.5329988157867058,0.4457340080163912,0.08726480777031465,1260,0.0,without_replacement,True,True,greater
RAI16,RAMF10,1,1,0.5258993865522875,,,1260,0.0,without_replacement,True,True,greater
RAI16,RAMF12,1,1,0.5526383230933821,0.6452757551586968,-0.09263743206531472,1260,0.0,without_replacement,True,True,greater
RAI16,RAMF14,1,1,0.5257183996146051,0.669062148844046,-0.14334374922944093,1260,0.0,without_replacement,True,True,greater
RAI16,RAMF8,1,1,0.5550230682532554,0.4819258093648576,0.0730972588883978,1260,0.025,without_replacement,True,True,greater
RAI16,RASF15,1,1,0.5664494475514282,0.4949520604853301,0.07149738706609815,1260,0.0,without_replacement,True,True,greater
RAI16,RASF16,1,1,0.5767883738923931,0.5985399015872928,-0.02175152769489963,1260,0.0,without_replacement,True,True,greater
RAI16,RMMF10,1,1,0.6074293698416806,0.4652472817162754,0.14218208812540523,1260,0.0,without_replacement,True,True,greater
RAI5,LASF10,1,1,0.5912728946320219,0.497496045752967,0.09377684887905491,1260,0.0,without_replacement,True,True,greater
RAI5,LASF16,1,1,0.5070943084820692,,,1260,0.0,without_replacement,True,True,greater
RAI5,LMSF6,1,1,0.5525426730524644,,,1260,0.0,without_replacement,True,True,greater
RAI5,LPSF10,1,1,0.5074356700254256,0.4948655888039803,0.012570081221445262,1260,0.0,without_replacement,True,True,greater
RAI5,RMSF11,1,1,0.531082274864293,,,1260,0.03,without_replacement,True,True,greater
RAI5,RMSF7,1,1,0.5437639336580067,0.5040037388778233,0.03976019478018333,1260,0.035,without_replacement,True,True,greater
RAI5,ROF16,1,1,0.5974540250041787,,,1260,0.0,without_replacement,True,True,greater
RAMF11,LASF10,1,1,0.5154765216646575,0.5296802840680997,-0.014203762403442233,1260,0.0,without_replacement,True,True,greater
RAMF11,LASF14,1,1,0.5919194170656195,,,1260,0.0,without_replacement,True,True,greater
RAMF11,LASF15,1,1,0.5040773556631744,,,1260,0.04,without_replacement,True,True,greater
RAMF11,LMSF5,1,1,0.5287593154392437,,,1260,0.0,without_replacement,True,True,greater
RAMF11,RAI10,1,1,0.5809965227592395,0.5258089135633576,0.05518760919588195,1260,0.0,without_replacement,True,True,greater
