subject,condition,part,ch1,ch2,window_start,window_end,n_epochs_in_window,coh_mean
D0116,stimulus_c,lpfc,LFOA13-LFOA14,LFOA14-LFOA17,-1.0,-0.5,222,0.2378268693068835
D0116,stimulus_c,lpfc,LFOA13-LFOA14,LFOA17-LFOA18,-1.0,-0.5,222,0.14621515569038157
D0116,stimulus_c,lpfc,LFOA13-LFOA14,LFOP14-LFOP15,-1.0,-0.5,222,
D0116,stimulus_c,lpfc,LFOA13-LFOA14,LFAM9-LFAM10,-1.0,-0.5,222,
D0116,stimulus_c,lpfc,LFOA13-LFOA14,LFAM10-LFAM11,-1.0,-0.5,222,
D0116,stimulus_c,lpfc,LFOA13-LFOA14,LFAM11-LFAM12,-1.0,-0.5,222,
D0116,stimulus_c,lpfc,LFOA13-LFOA14,LFMM13-LFMM14,-1.0,-0.5,222,
D0116,stimulus_c,lpfc,LFOA13-LFOA14,LAI6-LAI7,-1.0,-0.5,222,
D0116,stimulus_c,lpfc,LFOA13-LFOA14,LAI7-LAI8,-1.0,-0.5,222,
D0116,stimulus_c,lpfc,LFOA13-LFOA14,LAI8-LAI9,-1.0,-0.5,222,0.036451927811658846
D0116,stimulus_c,lpfc,LFOA13-LFOA14,LAI9-LAI12,-1.0,-0.5,222,0.0661085110198249
D0116,stimulus_c,lpfc,LFOA13-LFOA14,LAI12-LAI13,-1.0,-0.5,222,
D0116,stimulus_c,lpfc,LFOA13-LFOA14,LAI15-LAI16,-1.0,-0.5,222,0.06165472255575275
D0116,stimulus_c,lpfc,LFOA13-LFOA14,LFMI2-LFMI3,-1.0,-0.5,222,0.06368338489290108
D0116,stimulus_c,lpfc,LFOA13-LFOA14,LFMI3-LFMI4,-1.0,-0.5,222,0.08227712765367831
D0116,stimulus_c,lpfc,LFOA13-LFOA14,LFMI4-LFMI5,-1.0,-0.5,222,
D0116,stimulus_c,lpfc,LFOA13-LFOA14,LFMI5-LFMI6,-1.0,-0.5,222,0.055719224352039055
D0116,stimulus_c,lpfc,LFOA13-LFOA14,LFMI6-LFMI7,-1.0,-0.5,222,0.07899682315793481
D0116,stimulus_c,lpfc,LFOA13-LFOA14,RFOA11-RFOA14,-1.0,-0.5,222,
D0116,stimulus_c,lpfc,LFOA13-LFOA14,RFOA14-RFOA15,-1.0,-0.5,222,
D0116,stimulus_c,lpfc,LFOA13-LFOA14,RFOA15-RFOA16,-1.0,-0.5,222,0.10927402390696547
D0116,stimulus_c,lpfc,LFOA13-LFOA14,RFOP14-RFOP15,-1.0,-0.5,222,0.08336707642540166
D0116,stimulus_c,lpfc,LFOA13-LFOA14,RFMM9-RFMM10,-1.0,-0.5,222,
D0116,stimulus_c,lpfc,LFOA13-LFOA14,RFMM10-RFMM11,-1.0,-0.5,222,0.07562402053999324
D0116,stimulus_c,lpfc,LFOA13-LFOA14,RFMM11-RFMM12,-1.0,-0.5,222,
D0116,stimulus_c,lpfc,LFOA13-LFOA14,RFMM12-RFMM13,-1.0,-0.5,222,0.1058544239964017
D0116,stimulus_c,lpfc,LFOA13-LFOA14,RAI6-RAI7,-1.0,-0.5,222,
D0116,stimulus_c,lpfc,LFOA13-LFOA14,RAI7-RAI8,-1.0,-0.5,222,0.07709712749356572
D0116,stimulus_c,lpfc,LFOA13-LFOA14,RAI8-RAI11,-1.0,-0.5,222,
D0116,stimulus_c,lpfc,LFOA13-LFOA14,RAI11-RAI12,-1.0,-0.5,222,
D0116,stimulus_c,lpfc,LFOA13-LFOA14,RAI12-RAI14,-1.0,-0.5,222,
D0116,stimulus_c,lpfc,LFOA13-LFOA14,RAI14-RAI15,-1.0,-0.5,222,
D0116,stimulus_c,lpfc,LFOA13-LFOA14,RAI15-RAI16,-1.0,-0.5,222,
D0116,stimulus_c,lpfc,LFOA13-LFOA14,RAI16-RAI17,-1.0,-0.5,222,
D0116,stimulus_c,lpfc,LFOA13-LFOA14,RFMI3-RFMI4,-1.0,-0.5,222,
D0116,stimulus_c,lpfc,LFOA13-LFOA14,RFMI4-RFMI5,-1.0,-0.5,222,0.0861096554346677
D0116,stimulus_c,lpfc,LFOA14-LFOA17,LFOA17-LFOA18,-1.0,-0.5,222,0.3001459424774744
