subject,event,ch1,ch2,coh_mean
D0100,Response,LOAM15,LOMM15,0.4043211365161576
D0100,Response,LOAM15,LOPM10,0.27892248109121476
D0100,Response,LOAM15,LOMS13,0.38403926254139586
D0100,Response,LOAM15,LOMS14,0.45839209240253764
D0100,Response,LOAM15,LOMS15,0.46313881081414715
D0100,Response,LOAM15,LOPS9,0.2685696152052105
D0100,Response,LOAM15,LOPS11,0.3341313545120507
D0100,Response,LOAM15,LOPS12,0.38530068340864937
D0100,Response,LOAM15,LPPI14,0.34391613548107175
D0100,Response,LOAM15,LPPI15,0.35107764160765353
D0100,Response,LOAM15,LOMM13,0.4942687344576836
D0100,Response,LOAM15,LOMM14,0.481889126990628
D0100,Response,LOAM15,LOMS11,0.321835221036835
D0100,Response,LOAM15,LOMS12,0.39985166497644853
D0100,Response,LOAM15,LOPM8,0.2307996218381945
D0100,Response,LOAM15,LOPM9,0.2197452748628445
D0100,Response,LOAM15,LPPI7,0.26589072775956724
D0100,Response,LOAM15,LPPI8,0.24183296504027404
D0100,Response,LOAM15,LPPI9,0.23934901242137266
D0100,Response,LOMM15,LOPM10,0.5716571628136845
D0100,Response,LOMM15,LOMS13,0.756611289743552
D0100,Response,LOMM15,LOMS14,0.8032393368880559
D0100,Response,LOMM15,LOMS15,0.8709483344088979
D0100,Response,LOMM15,LOPS9,0.3514732311285355
D0100,Response,LOMM15,LOPS11,0.39115412002713773
D0100,Response,LOMM15,LOPS12,0.7554831721987962
D0100,Response,LOMM15,LPPI14,0.7866698203328981
D0100,Response,LOMM15,LPPI15,0.8178705707728358
D0100,Response,LOMM15,LOMM13,0.772051097075312
D0100,Response,LOMM15,LOMM14,0.8179185171908996
D0100,Response,LOMM15,LOMS11,0.5512351569863626
D0100,Response,LOMM15,LOMS12,0.7098669556920902
D0100,Response,LOMM15,LOPM8,0.264321613282575
D0100,Response,LOMM15,LOPM9,0.24630317856855374
D0100,Response,LOMM15,LPPI7,0.5482025680610253
D0100,Response,LOMM15,LPPI8,0.46795589123173104
D0100,Response,LOMM15,LPPI9,0.40446576313406174
D0100,Response,LOPM10,LOMS13,0.5707319016425854
D0100,Response,LOPM10,LOMS14,0.593381352384608
D0100,Response,LOPM10,LOMS15,0.6025533712039788
D0100,Response,LOPM10,LOPS9,0.36912647426875544
D0100,Response,LOPM10,LOPS11,0.2518849939478831
D0100,Response,LOPM10,LOPS12,0.6133685427183718
D0100,Response,LOPM10,LPPI14,0.49219892849119484
D0100,Response,LOPM10,LPPI15,0.5027979456848107
D0100,Response,LOPM10,LOMM13,0.6303275410954883
D0100,Response,LOPM10,LOMM14,0.6549809897680643
D0100,Response,LOPM10,LOMS11,0.3536898035642069
D0100,Response,LOPM10,LOMS12,0.4920881196926613
D0100,Response,LOPM10,LOPM8,0.4638931608074434
D0100,Response,LOPM10,LOPM9,0.591884882910588
D0100,Response,LOPM10,LPPI7,0.30776512127241284
D0100,Response,LOPM10,LPPI8,0.3032252764899673
D0100,Response,LOPM10,LPPI9,0.27868430256485666
D0100,Response,LOMS13,LOMS14,0.9680825972832845
D0100,Response,LOMS13,LOMS15,0.9454907840551684
D0100,Response,LOMS13,LOPS9,0.3925886834776155
D0100,Response,LOMS13,LOPS11,0.4510318287057861
D0100,Response,LOMS13,LOPS12,0.8459112171019001
D0100,Response,LOMS13,LPPI14,0.826788085627361
D0100,Response,LOMS13,LPPI15,0.8262336358267314
D0100,Response,LOMS13,LOMM13,0.8086530877131404
D0100,Response,LOMS13,LOMM14,0.8184666936627703
D0100,Response,LOMS13,LOMS11,0.6061691005681807
D0100,Response,LOMS13,LOMS12,0.8698069018661918
