subject,event,ch1,ch2,coh_mean
D0063,"stimulus_i_(-1.0, -0.5)",LASF1,LASF3,0.5209025584435963
D0063,"stimulus_i_(-1.0, -0.5)",LASF1,LASF7,0.49096215476616484
D0063,"stimulus_i_(-1.0, -0.5)",LASF1,LASF9,0.48632437595249406
D0063,"stimulus_i_(-1.0, -0.5)",LASF1,RAMF1,0.5471878855968535
D0063,"stimulus_i_(-1.0, -0.5)",LASF1,RAMF2,0.5601061124275997
D0063,"stimulus_i_(-1.0, -0.5)",LASF1,RMMF2,0.5139110173692221
D0063,"stimulus_i_(-1.0, -0.5)",LASF1,RMMF3,0.5396232842087575
D0063,"stimulus_i_(-1.0, -0.5)",LASF1,RMMF4,0.48197314090415816
D0063,"stimulus_i_(-1.0, -0.5)",LASF1,LMSF1,0.4861804046880053
D0063,"stimulus_i_(-1.0, -0.5)",LASF1,LMSF2,0.5565956888274419
D0063,"stimulus_i_(-1.0, -0.5)",LASF1,LMSF4,0.5317008449669427
D0063,"stimulus_i_(-1.0, -0.5)",LASF1,RMSF3,0.5191916241961831
D0063,"stimulus_i_(-1.0, -0.5)",LASF1,RMSF4,0.49868407151647226
D0063,"stimulus_i_(-1.0, -0.5)",LASF1,RMSF5,0.5208505047196595
D0063,"stimulus_i_(-1.0, -0.5)",LASF1,RMMF1,0.5060404037137398
D0063,"stimulus_i_(-1.0, -0.5)",LASF3,LASF7,0.5196607662578141
D0063,"stimulus_i_(-1.0, -0.5)",LASF3,LASF9,0.6434831021763568
D0063,"stimulus_i_(-1.0, -0.5)",LASF3,RAMF1,0.45370241637427505
D0063,"stimulus_i_(-1.0, -0.5)",LASF3,RAMF2,0.4615906026371511
D0063,"stimulus_i_(-1.0, -0.5)",LASF3,RMMF2,0.4615906026371511
D0063,"stimulus_i_(-1.0, -0.5)",LASF3,RMMF3,0.5348111134294455
D0063,"stimulus_i_(-1.0, -0.5)",LASF3,RMMF4,0.5724520127016436
D0063,"stimulus_i_(-1.0, -0.5)",LASF3,LMSF1,0.5225095824687898
D0063,"stimulus_i_(-1.0, -0.5)",LASF3,LMSF2,0.5129656144435174
D0063,"stimulus_i_(-1.0, -0.5)",LASF3,LMSF4,0.499300910248805
D0063,"stimulus_i_(-1.0, -0.5)",LASF3,RMSF3,0.5277640993425086
D0063,"stimulus_i_(-1.0, -0.5)",LASF3,RMSF4,0.5008914350926021
D0063,"stimulus_i_(-1.0, -0.5)",LASF3,RMSF5,0.5133491997512025
D0063,"stimulus_i_(-1.0, -0.5)",LASF3,RMMF1,0.5261390250732808
D0063,"stimulus_i_(-1.0, -0.5)",LASF7,LASF9,0.5184232479706776
D0063,"stimulus_i_(-1.0, -0.5)",LASF7,RAMF1,0.5334530535149933
D0063,"stimulus_i_(-1.0, -0.5)",LASF7,RAMF2,0.5023740336834861
D0063,"stimulus_i_(-1.0, -0.5)",LASF7,RMMF2,0.5118850106680349
D0063,"stimulus_i_(-1.0, -0.5)",LASF7,RMMF3,0.4416787792696473
D0063,"stimulus_i_(-1.0, -0.5)",LASF7,RMMF4,0.47215078121957893
D0063,"stimulus_i_(-1.0, -0.5)",LASF7,LMSF1,0.4949445558878303
D0063,"stimulus_i_(-1.0, -0.5)",LASF7,LMSF2,0.580501257185444
D0063,"stimulus_i_(-1.0, -0.5)",LASF7,LMSF4,0.6011769966859677
D0063,"stimulus_i_(-1.0, -0.5)",LASF7,RMSF3,0.5566319945402027
D0063,"stimulus_i_(-1.0, -0.5)",LASF7,RMSF4,0.5128428221567615
D0063,"stimulus_i_(-1.0, -0.5)",LASF7,RMSF5,0.5372159333374598
D0063,"stimulus_i_(-1.0, -0.5)",LASF7,RMMF1,0.5187462703732811
D0063,"stimulus_i_(-1.0, -0.5)",LASF9,RAMF1,0.4829850566772029
D0063,"stimulus_i_(-1.0, -0.5)",LASF9,RAMF2,0.452956859734157
D0063,"stimulus_i_(-1.0, -0.5)",LASF9,RMMF2,0.48245463312887255
D0063,"stimulus_i_(-1.0, -0.5)",LASF9,RMMF3,0.483118294310518
D0063,"stimulus_i_(-1.0, -0.5)",LASF9,RMMF4,0.5040264101149277
D0063,"stimulus_i_(-1.0, -0.5)",LASF9,LMSF1,0.5267051242560937
D0063,"stimulus_i_(-1.0, -0.5)",LASF9,LMSF2,0.6310538476106785
D0063,"stimulus_i_(-1.0, -0.5)",LASF9,LMSF4,0.5375833080868366
D0063,"stimulus_i_(-1.0, -0.5)",LASF9,RMSF3,0.5020004571636949
D0063,"stimulus_i_(-1.0, -0.5)",LASF9,RMSF4,0.5429283058873373
D0063,"stimulus_i_(-1.0, -0.5)",LASF9,RMSF5,0.5995502482238434
D0063,"stimulus_i_(-1.0, -0.5)",LASF9,RMMF1,0.5348345866963307
D0063,"stimulus_i_(-1.0, -0.5)",RAMF1,RAMF2,0.46612078165845533
D0063,"stimulus_i_(-1.0, -0.5)",RAMF1,RMMF2,0.5418558363569982
D0063,"stimulus_i_(-1.0, -0.5)",RAMF1,RMMF3,0.5334209659610092
D0063,"stimulus_i_(-1.0, -0.5)",RAMF1,RMMF4,0.5164699659414275
D0063,"stimulus_i_(-1.0, -0.5)",RAMF1,LMSF1,0.4885335707280197
D0063,"stimulus_i_(-1.0, -0.5)",RAMF1,LMSF2,0.4930950991422921
D0063,"stimulus_i_(-1.0, -0.5)",RAMF1,LMSF4,0.5085792487143668
D0063,"stimulus_i_(-1.0, -0.5)",RAMF1,RMSF3,0.5138308287080221
D0063,"stimulus_i_(-1.0, -0.5)",RAMF1,RMSF4,0.4830705571328837
D0063,"stimulus_i_(-1.0, -0.5)",RAMF1,RMSF5,0.4888964229245868
D0063,"stimulus_i_(-1.0, -0.5)",RAMF1,RMMF1,0.4964631901496419
D0063,"stimulus_i_(-1.0, -0.5)",RAMF2,RMMF2,0.5027376042467339
D0063,"stimulus_i_(-1.0, -0.5)",RAMF2,RMMF3,0.4464888971775438
D0063,"stimulus_i_(-1.0, -0.5)",RAMF2,RMMF4,0.5272264285004765
D0063,"stimulus_i_(-1.0, -0.5)",RAMF2,LMSF1,0.4835807012997834
D0063,"stimulus_i_(-1.0, -0.5)",RAMF2,LMSF2,0.4518522752446782
D0063,"stimulus_i_(-1.0, -0.5)",RAMF2,LMSF4,0.49378751690337114
D0063,"stimulus_i_(-1.0, -0.5)",RAMF2,RMSF3,0.5058799091474502
D0063,"stimulus_i_(-1.0, -0.5)",RAMF2,RMSF4,0.5226453228825737
D0063,"stimulus_i_(-1.0, -0.5)",RAMF2,RMSF5,0.5730694045907804
D0063,"stimulus_i_(-1.0, -0.5)",RAMF2,RMMF1,0.6015677260266818
D0063,"stimulus_i_(-1.0, -0.5)",RMMF2,RMMF3,0.5320847798226462
D0063,"stimulus_i_(-1.0, -0.5)",RMMF2,RMMF4,0.49003410010164744
D0063,"stimulus_i_(-1.0, -0.5)",RMMF2,LMSF1,0.4658515523818251
D0063,"stimulus_i_(-1.0, -0.5)",RMMF2,LMSF2,0.5636938023781108
D0063,"stimulus_i_(-1.0, -0.5)",RMMF2,LMSF4,0.5059875566113431
D0063,"stimulus_i_(-1.0, -0.5)",RMMF2,RMSF3,0.49283889493212696
D0063,"stimulus_i_(-1.0, -0.5)",RMMF2,RMSF4,0.49715746535124306
D0063,"stimulus_i_(-1.0, -0.5)",RMMF2,RMSF5,0.4952222890969044
D0063,"stimulus_i_(-1.0, -0.5)",RMMF2,RMMF1,0.45333652118066325
D0063,"stimulus_i_(-1.0, -0.5)",RMMF3,RMMF4,0.5009754683368355
D0063,"stimulus_i_(-1.0, -0.5)",RMMF3,LMSF1,0.4925624356632985
D0063,"stimulus_i_(-1.0, -0.5)",RMMF3,LMSF2,0.47196698729820696
D0063,"stimulus_i_(-1.0, -0.5)",RMMF3,LMSF4,0.516567524031034
D0063,"stimulus_i_(-1.0, -0.5)",RMMF3,RMSF3,0.49397915598132625
D0063,"stimulus_i_(-1.0, -0.5)",RMMF3,RMSF4,0.49397915598132625
D0063,"stimulus_i_(-1.0, -0.5)",RMMF3,RMSF5,0.5517887834617359
D0063,"stimulus_i_(-1.0, -0.5)",RMMF3,RMMF1,0.4788256147299121
D0063,"stimulus_i_(-1.0, -0.5)",RMMF4,LMSF1,0.538289787739441
D0063,"stimulus_i_(-1.0, -0.5)",RMMF4,LMSF2,0.49517756620708225
D0063,"stimulus_i_(-1.0, -0.5)",RMMF4,LMSF4,0.5140421401589258
D0063,"stimulus_i_(-1.0, -0.5)",RMMF4,RMSF3,0.5024574922019984
D0063,"stimulus_i_(-1.0, -0.5)",RMMF4,RMSF4,0.5614499998468969
D0063,"stimulus_i_(-1.0, -0.5)",RMMF4,RMSF5,0.5327491630629139
D0063,"stimulus_i_(-1.0, -0.5)",RMMF4,RMMF1,0.499095054165656
D0063,"stimulus_i_(-1.0, -0.5)",LMSF1,LMSF2,0.5317712379215283
D0063,"stimulus_i_(-1.0, -0.5)",LMSF1,LMSF4,0.5365139775404141
D0063,"stimulus_i_(-1.0, -0.5)",LMSF1,RMSF3,0.5888125426019942
D0063,"stimulus_i_(-1.0, -0.5)",LMSF1,RMSF4,0.5104259797667404
D0063,"stimulus_i_(-1.0, -0.5)",LMSF1,RMSF5,0.497106696070416
D0063,"stimulus_i_(-1.0, -0.5)",LMSF1,RMMF1,0.47795150357336813
D0063,"stimulus_i_(-1.0, -0.5)",LMSF2,LMSF4,0.4867639133868199
D0063,"stimulus_i_(-1.0, -0.5)",LMSF2,RMSF3,0.5331268313583355
D0063,"stimulus_i_(-1.0, -0.5)",LMSF2,RMSF4,0.5325460339842466
