subject,event,ch1,ch2,coh_mean
D0063,"stimulus_r_(0.0, 0.5)",LASF1,LASF3,0.51822770005923
D0063,"stimulus_r_(0.0, 0.5)",LASF1,LASF7,0.49954240346319134
D0063,"stimulus_r_(0.0, 0.5)",LASF1,LASF9,0.5247235410302937
D0063,"stimulus_r_(0.0, 0.5)",LASF1,RAMF1,0.49299073849618436
D0063,"stimulus_r_(0.0, 0.5)",LASF1,RAMF2,0.4668211659933816
D0063,"stimulus_r_(0.0, 0.5)",LASF1,RMMF2,0.46226705507550053
D0063,"stimulus_r_(0.0, 0.5)",LASF1,RMMF3,0.4713866153436561
D0063,"stimulus_r_(0.0, 0.5)",LASF1,RMMF4,0.4823006421921006
D0063,"stimulus_r_(0.0, 0.5)",LASF1,LMSF1,0.48047305887548325
D0063,"stimulus_r_(0.0, 0.5)",LASF1,LMSF2,0.4717831876720592
D0063,"stimulus_r_(0.0, 0.5)",LASF1,LMSF4,0.4715120909888663
D0063,"stimulus_r_(0.0, 0.5)",LASF1,RMSF3,0.46127826206353084
D0063,"stimulus_r_(0.0, 0.5)",LASF1,RMSF4,0.4637224050496475
D0063,"stimulus_r_(0.0, 0.5)",LASF1,RMSF5,0.46891828367323396
D0063,"stimulus_r_(0.0, 0.5)",LASF1,RMMF1,0.4726950457563187
D0063,"stimulus_r_(0.0, 0.5)",LASF3,LASF7,0.6243155585410763
D0063,"stimulus_r_(0.0, 0.5)",LASF3,LASF9,0.5998275936591
D0063,"stimulus_r_(0.0, 0.5)",LASF3,RAMF1,0.4649410685057773
D0063,"stimulus_r_(0.0, 0.5)",LASF3,RAMF2,0.5549416620158716
D0063,"stimulus_r_(0.0, 0.5)",LASF3,RMMF2,0.5624226616129455
D0063,"stimulus_r_(0.0, 0.5)",LASF3,RMMF3,0.5779910524155458
D0063,"stimulus_r_(0.0, 0.5)",LASF3,RMMF4,0.5480943289926149
D0063,"stimulus_r_(0.0, 0.5)",LASF3,LMSF1,0.4878218875756844
D0063,"stimulus_r_(0.0, 0.5)",LASF3,LMSF2,0.4959435472231759
D0063,"stimulus_r_(0.0, 0.5)",LASF3,LMSF4,0.542210727724652
D0063,"stimulus_r_(0.0, 0.5)",LASF3,RMSF3,0.5051543047615832
D0063,"stimulus_r_(0.0, 0.5)",LASF3,RMSF4,0.5103442469109428
D0063,"stimulus_r_(0.0, 0.5)",LASF3,RMSF5,0.5196087344847231
D0063,"stimulus_r_(0.0, 0.5)",LASF3,RMMF1,0.4841256865974404
D0063,"stimulus_r_(0.0, 0.5)",LASF7,LASF9,0.5546261990159262
D0063,"stimulus_r_(0.0, 0.5)",LASF7,RAMF1,0.4825684704677277
D0063,"stimulus_r_(0.0, 0.5)",LASF7,RAMF2,0.5422701986970748
D0063,"stimulus_r_(0.0, 0.5)",LASF7,RMMF2,0.5132586888423805
D0063,"stimulus_r_(0.0, 0.5)",LASF7,RMMF3,0.5405903544656612
D0063,"stimulus_r_(0.0, 0.5)",LASF7,RMMF4,0.5271685353509526
